procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95916916  22936 787668    0    0    12   474 23931    4  0  0 100  0  0  0
 0  0      0 95916216  22936 787676    0    0     0     0  697  319  0  0 100  0  0  0
 1  0      0 95915992  22936 787716    0    0     0     0  711  494  0  0 100  0  0  0
 0  0      0 95915488  22936 787724    0    0     0     0  518  312  0  0 100  0  0  0
 0  0      0 95915488  22936 787724    0    0     0     0  119  125  0  0 100  0  0  0
 0  0      0 95915488  22940 787720    0    0     0    23  132  150  0  0 100  0  0  0
 0  0      0 95887696  22980 787704    0    0     0   532 2291 3305  0  0 100  0  0  0
 7  0      0 95860352  22980 788064    0    0     0    46 1434135 1405532  3 16 81  0  0  0
19  0      0 95858704  22980 788064    0    0     0     0 1675806 1667559  3 19 78  0  0  0
 7  0      0 95857528  22980 788068    0    0     0     0 1629029 1614286  4 21 75  0  0  0
20  0      0 95854992  22980 788068    0    0     0     0 1669679 1662502  3 20 77  0  0  0
11  0      0 95853952  22980 788068    0    0     0     0 1619703 1603398  4 21 75  0  0  0
 8  0      0 95852020  22984 788068    0    0     0    13 1627902 1615948  4 21 75  0  0  0
 8  0      0 95850408  22984 788072    0    0     0     0 1622686 1610364  4 20 76  0  0  0
20  0      0 95848344  22984 788072    0    0     0     0 1637603 1628016  4 20 77  0  0  0
 7  0      0 95847216  22984 788072    0    0     0     0 1627845 1615585  4 18 77  0  0  0
17  0      0 95845580  22984 788076    0    0     0     0 1603489 1585696  5 23 72  0  0  0
 8  0      0 95845496  22984 788076    0    0     0     5 1579147 1558886  4 22 73  0  0  0
 0  0      0 95845232  22984 788076    0    0     0     0 1575062 1554926  4 22 73  0  0  0
21  0      0 95844816  22984 788076    0    0     0     0 1623542 1610258  3 20 76  0  0  0
16  0      0 95845032  22984 788076    0    0     0     0 1594035 1577872  4 22 74  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
13  0      0 95843664  22984 788076    0    0     0     0 1588121 1568135  4 21 75  0  0  0
