procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95950812  23248 728148    0    0    12   423 82681   16  1  1 98  0  0  0
 0  0      0 95950824  23248 728156    0    0     0     0  672  351  0  0 100  0  0  0
 0  0      0 95949840  23248 728160    0    0     0    19  716  485  0  0 100  0  0  0
 0  0      0 95950092  23248 728168    0    0     0     0  723  418  0  0 100  0  0  0
 0  0      0 95949616  23248 728236    0    0     0     0  324  227  0  0 100  0  0  0
 0  0      0 95949616  23248 728284    0    0     0     0  165  227  0  0 100  0  0  0
 0  0      0 95949616  23248 728304    0    0     0     0  110  122  0  0 100  0  0  0
 0  0      0 95949872  23252 728324    0    0     0    10  482  372  0  0 100  0  0  0
 0  0      0 95949872  23252 728340    0    0     0     0  117  145  0  0 100  0  0  0
 0  0      0 95947100  23252 728364    0    0     0     0  524  299  0  0 100  0  0  0
11  0      0 95944244  23252 728416    0    0     0     0 166207 50976  1  1 97  0  0  0
 4  0      0 95940580  23252 728496    0    0     0     0 1142667 306745  8 11 80  0  0  0
 5  0      0 95940084  23252 728516    0    0     0     0 1144430 307470  8 11 80  0  0  0
 4  0      0 95939100  23256 728540    0    0     0    11 1147553 308484  9 11 80  0  0  0
11  0      0 95938356  23256 728560    0    0     0     0 1149170 307556  8 11 81  0  0  0
 8  0      0 95937872  23256 728576    0    0     0     0 1146283 308632  8 11 81  0  0  0
 6  0      0 95937368  23256 728600    0    0     0     0 1146077 309114  8 11 81  0  0  0
 8  0      0 95936856  23256 728624    0    0     0     0 1143082 307450  9 11 79  0  0  0
11  0      0 95935852  23256 728640    0    0     0     5 1139258 309110  9 12 79  0  0  0
 6  0      0 95935608  23256 728664    0    0     0     0 1147464 309007  8 11 81  0  0  0
 9  0      0 95935608  23256 728684    0    0     0     0 1141066 308781  8 12 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 95934848  23256 728708    0    0     0     0 1142289 306810  8 12 80  0  0  0
 3  0      0 95934844  23256 728728    0    0     0     0 1141612 305770  9 11 80  0  0  0
16  0      0 95933828  23260 728748    0    0     0     5 1145830 308641  9 12 79  0  0  0
12  0      0 95933332  23260 728768    0    0     0     0 1141751 307189  8 10 81  0  0  0
11  0      0 95933328  23260 728792    0    0     0     0 1140182 310673  9 13 79  0  0  0
