Linux 6.6.121-0-virt (ip-172-31-2-238) 	03/18/26 	_aarch64_	(48 CPU)

19:43:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:43:07        all      0.08      0.00      0.00      0.00      0.00     99.92
19:43:08        all      0.04      0.00      0.00      0.00      0.00     99.96
19:43:09        all      0.02      0.00      0.02      0.00      0.00     99.96
19:43:10        all      0.00      0.00      0.00      0.00      0.00    100.00
19:43:11        all      0.00      0.00      0.00      0.00      0.00    100.00
19:43:12        all      0.00      0.00      0.00      0.00      0.00    100.00
19:43:13        all      0.00      0.00      0.00      0.00      0.00    100.00
19:43:14        all      0.00      0.00      0.00      0.00      0.00    100.00
19:43:15        all      0.08      0.00      0.00      0.00      0.00     99.92
19:43:16        all      6.75      0.00      8.57      0.00      0.00     84.68
19:43:17        all     11.15      0.00     12.07      0.00      0.00     76.77
19:43:18        all     10.83      0.00     12.55      0.02      0.00     76.59
19:43:19        all     11.00      0.00     12.70      0.00      0.00     76.31
19:43:20        all     10.41      0.00     12.07      0.00      0.00     77.52
19:43:21        all     11.41      0.00     12.05      0.00      0.00     76.54
19:43:22        all     10.62      0.00     12.81      0.00      0.00     76.57
19:43:23        all     10.45      0.00     12.75      0.00      0.00     76.80
19:43:24        all     10.99      0.00     11.85      0.00      0.00     77.15
19:43:25        all     10.04      0.00     12.36      0.00      0.00     77.60
19:43:26        all     10.01      0.00     12.21      0.00      0.00     77.79
19:43:27        all     10.77      0.00     11.87      0.00      0.00     77.36
19:43:28        all     11.12      0.00     12.79      0.00      0.00     76.09
19:43:29        all     10.78      0.00     13.17      0.00      0.00     76.05
19:43:30        all     10.89      0.00     12.23      0.00      0.00     76.87
19:43:31        all     10.96      0.00     12.85      0.00      0.00     76.18
19:43:32        all     11.07      0.00     11.27      0.00      0.00     77.65
Average:        all      6.78      0.00      7.79      0.00      0.00     85.43
