Linux 6.6.121-0-virt (ip-172-31-2-238) 	03/18/26 	_aarch64_	(48 CPU)

19:53:32      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
19:53:33            0       642      2.16      2.32      2.36         0
19:53:34            0       644      2.16      2.32      2.36         0
19:53:35            0       641      2.16      2.32      2.36         0
19:53:36            0       641      1.99      2.28      2.35         0
19:53:37            0       641      1.99      2.28      2.35         0
19:53:38            0       641      1.99      2.28      2.35         0
19:53:39            0       641      1.99      2.28      2.35         0
19:53:40            0       643      1.99      2.28      2.35         0
19:53:41           21       644      1.91      2.26      2.34         0
19:53:42           30       644      1.91      2.26      2.34         0
19:53:43           27       644      1.91      2.26      2.34         0
19:53:44           12       644      1.91      2.26      2.34         0
19:53:45           22       644      1.91      2.26      2.34         0
19:53:46           18       644      2.64      2.41      2.39         0
19:53:47           21       644      2.64      2.41      2.39         0
19:53:48           28       644      2.64      2.41      2.39         0
19:53:49           30       644      2.64      2.41      2.39         0
19:53:50           10       644      2.64      2.41      2.39         0
19:53:51           13       644      4.27      2.75      2.50         0
19:53:52           31       644      4.27      2.75      2.50         0
19:53:53           26       644      4.27      2.75      2.50         0
19:53:54           22       644      4.27      2.75      2.50         0
19:53:55           14       644      4.27      2.75      2.50         0
19:53:56           12       643      5.77      3.09      2.61         0
19:53:57           19       643      5.77      3.09      2.61         0
19:53:58           20       642      5.77      3.09      2.61         0
Average:           14       643      2.99      2.49      2.42         0
