procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95944416  23484 730504    0    0    11   388 102676   19  1  1 98  0  0  0
 0  0      0 95943196  23484 730512    0    0     0     0  643  333  0  0 100  0  0  0
 0  0      0 95942956  23488 730516    0    0     0    17  789  601  0  0 100  0  0  0
 0  0      0 95942452  23488 730524    0    0     0     0  674  385  0  0 100  0  0  0
 0  0      0 95942452  23488 730532    0    0     0     0  360  257  0  0 100  0  0  0
 0  0      0 95942704  23488 730548    0    0     0     0  210  299  0  0 100  0  0  0
 0  0      0 95942704  23488 730568    0    0     0     0  213  217  0  0 100  0  0  0
 0  0      0 95942452  23488 730588    0    0     0    10  120  130  0  0 100  0  0  0
 0  0      0 95942452  23488 730604    0    0     0     0  320  135  0  0 100  0  0  0
 0  0      0 95942200  23488 730628    0    0     0     0  235  158  0  0 100  0  0  0
 0  0      0 95938728  23488 730644    0    0     0     0 1229  392  0  0 100  0  0  0
29  0      0 95916876  23488 730724    0    0     0     0 939510 343373 26 12 62  0  0  0
16  0      0 95914200  23488 730744    0    0     0     0 1154639 420780 33 15 52  0  0  0
17  0      0 95912768  23488 730768    0    0     0     9 1153163 417701 34 14 52  0  0  0
18  0      0 95915392  23488 730788    0    0     0     0 1159113 422976 32 14 54  0  0  0
30  0      0 95913264  23488 730808    0    0     0     0 1152867 421129 33 14 53  0  0  0
19  0      0 95913004  23488 730828    0    0     0     0 1148788 420760 32 14 53  0  0  0
19  0      0 95917900  23488 730848    0    0     0     0 1153418 420103 34 14 53  0  0  0
29  0      0 95918956  23488 730864    0    0     0     5 1158952 421928 33 14 52  0  0  0
27  0      0 95915780  23488 730884    0    0     0     0 1152309 423233 32 14 54  0  0  0
21  0      0 95915940  23488 730904    0    0     0     0 1153965 424305 33 14 52  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 95914624  23488 730924    0    0     0     0 1155110 422848 32 15 52  0  0  0
15  0      0 95914104  23488 730944    0    0     0     0 1157978 426391 33 14 52  0  0  0
23  0      0 95914348  23488 730964    0    0     0     5 1156323 424718 33 14 52  0  0  0
31  0      0 95915056  23488 730984    0    0     0     0 1165141 424506 33 14 53  0  0  0
26  0      0 95914604  23488 731004    0    0     0     0 1156554 423519 32 14 54  0  0  0
