Linux 6.6.121-0-virt (ip-172-31-0-225) 	03/18/26 	_aarch64_	(48 CPU)

19:50:33        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:50:34        all      0.06      0.00      0.00      0.00      0.00     99.94
19:50:35        all      0.02      0.00      0.02      0.00      0.00     99.96
19:50:36        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:37        all      0.00      0.00      0.00      0.00      0.00    100.00
19:50:38        all      0.04      0.00      0.00      0.00      0.00     99.96
19:50:39        all      1.32      0.00      5.83      0.11      0.00     92.74
19:50:40        all      2.37      0.00     11.25      0.00      0.00     86.39
19:50:41        all      2.04      0.00     11.61      0.00      0.00     86.35
19:50:42        all      2.03      0.00      8.87      0.00      0.00     89.10
19:50:43        all      1.97      0.00     10.74      0.00      0.00     87.29
19:50:44        all      2.41      0.00     11.02      0.00      0.00     86.58
19:50:45        all      2.12      0.00     10.09      0.00      0.00     87.79
19:50:46        all      2.14      0.00     10.08      0.00      0.00     87.78
19:50:47        all      2.11      0.00     10.88      0.00      0.00     87.01
19:50:48        all      2.05      0.00      9.15      0.00      0.00     88.80
19:50:49        all      2.33      0.00      9.03      0.00      0.00     88.64
19:50:50        all      2.13      0.00      9.43      0.00      0.00     88.44
19:50:51        all      2.56      0.00     10.58      0.00      0.00     86.86
19:50:52        all      2.05      0.00      9.96      0.00      0.00     88.00
19:50:53        all      2.43      0.00      9.92      0.00      0.00     87.65
19:50:54        all      1.78      0.00     10.28      0.02      0.00     87.92
19:50:55        all      2.11      0.00     10.15      0.00      0.00     87.74
19:50:56        all      2.04      0.00      9.89      0.00      0.00     88.07
19:50:57        all      1.59      0.00      9.60      0.00      0.00     88.81
19:50:58        all      2.07      0.00      9.77      0.00      0.00     88.16
19:50:59        all      1.88      0.00      9.95      0.00      0.00     88.17
Average:        all      1.66      0.00      7.93      0.01      0.00     90.41
