procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95957448  23380 729856    0    0    11   398 91191   17  1  1 98  0  0  0
 0  0      0 95956460  23380 729864    0    0     0     0  698  348  0  0 100  0  0  0
 0  0      0 95956220  23380 729868    0    0     0    17  783  607  0  0 100  0  0  0
 0  0      0 95957180  23380 729880    0    0     0     0  938  459  0  0 100  0  0  0
 0  0      0 95955444  23380 729916    0    0     0     0  673  476  0  0 100  0  0  0
 0  0      0 95955444  23380 729932    0    0     0     0  301  328  0  0 100  0  0  0
 0  0      0 95955192  23380 729952    0    0     0     0  234  212  0  0 100  0  0  0
 0  0      0 95955192  23380 729972    0    0     0     0  257  242  0  0 100  0  0  0
 0  0      0 95955192  23380 729988    0    0     0    16  334  324  0  0 100  0  0  0
 0  0      0 95952000  23380 730160    0    0     0     0  436  317  0  0 100  0  0  0
 0  0      0 95949792  23380 730180    0    0     0     0 1082  280  0  0 100  0  0  0
 5  0      0 95942760  23380 730292    0    0     0     0 1452745 1692679  9 13 78  0  0  0
 5  0      0 95942508  23380 730312    0    0     0     0 1559638 1896905  9 14 77  0  0  0
12  0      0 95942256  23380 730336    0    0     0     9 1557413 1902504  9 15 76  0  0  0
10  0      0 95942256  23380 730356    0    0     0     0 1558073 1901984  9 15 76  0  0  0
14  0      0 95942252  23380 730372    0    0     0     0 1563908 1915718  9 16 75  0  0  0
 6  0      0 95942252  23380 730396    0    0     0     0 1568439 1924164  9 15 76  0  0  0
16  0      0 95942256  23380 730416    0    0     0     0 1563146 1912215  9 14 77  0  0  0
19  0      0 95942004  23380 730436    0    0     0     5 1559120 1900238  9 12 78  0  0  0
 1  0      0 95942004  23380 730456    0    0     0     0 1557173 1895585  9 14 77  0  0  0
16  0      0 95942004  23380 730476    0    0     0     0 1555123 1892121  9 13 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 95941752  23380 730496    0    0     0     0 1555702 1895372  9 14 77  0  0  0
13  0      0 95941768  23380 730512    0    0     0     2 1557991 1897005  9 15 76  0  0  0
16  0      0 95939464  23380 730540    0    0     0     5 1552607 1885496 10 14 76  0  0  0
 4  0      0 95941368  23380 730560    0    0     0     0 1566020 1910773  9 14 78  0  0  0
14  0      0 95940868  23380 730584    0    0     0     0 1561130 1905428 10 14 76  0  0  0
