Linux 6.6.121-0-virt (ip-172-31-0-225) 	03/18/26 	_aarch64_	(48 CPU)

20:52:52      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
20:52:53            0       581      1.70      0.73      0.27         0
20:52:54            0       580      1.70      0.73      0.27         0
20:52:55            0       580      1.57      0.72      0.27         0
20:52:56            0       580      1.57      0.72      0.27         0
20:52:57            3       701      1.57      0.72      0.27         0
20:52:58            5       701      1.57      0.72      0.27         0
20:52:59            3       701      1.57      0.72      0.27         0
20:53:00            4       701      1.84      0.79      0.29         0
20:53:01            4       701      1.84      0.79      0.29         0
20:53:02            0       701      1.84      0.79      0.29         0
20:53:03           15       701      1.84      0.79      0.29         0
20:53:04            1       701      1.84      0.79      0.29         0
20:53:05            2       701      1.85      0.81      0.30         0
20:53:06            1       701      1.85      0.81      0.30         0
20:53:07            1       701      1.85      0.81      0.30         0
20:53:08            4       701      1.85      0.81      0.30         0
20:53:09            5       701      1.85      0.81      0.30         0
20:53:10            8       701      1.70      0.79      0.30         0
20:53:11            5       701      1.70      0.79      0.30         0
20:53:12            1       701      1.70      0.79      0.30         0
20:53:13            4       701      1.70      0.79      0.30         0
20:53:14            6       701      1.70      0.79      0.30         0
20:53:15            0       701      1.81      0.83      0.31         0
20:53:16            5       700      1.81      0.83      0.31         0
20:53:17            1       700      1.81      0.83      0.31         0
20:53:18            8       698      1.81      0.83      0.31         0
Average:            3       682      1.75      0.78      0.29         0
