procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95894124  23692 789980    0    0     6   257 64728   13  0  1 99  0  0  0
 0  0      0 95893156  23692 789988    0    0     0     0  690  333  0  0 100  0  0  0
 0  0      0 95893156  23692 789996    0    0     0     0  394  239  0  0 100  0  0  0
 0  0      0 95892904  23692 790000    0    0     0    13  458  362  0  0 100  0  0  0
 0  0      0 95892904  23692 790004    0    0     0     0  647  402  0  0 100  0  0  0
 0  0      0 95892904  23692 790004    0    0     0     9  143  151  0  0 100  0  0  0
 0  0      0 95892904  23692 790004    0    0     0     0  100  122  0  0 100  0  0  0
 0  0      0 95860216  23700 790060    0    0     0   526 2357 3664  0  0 100  0  0  0
 2  0      0 95834568  23700 790288    0    0     0    46 937130 888453  3 12 86  0  0  0
 7  0      0 95830892  23700 790288    0    0     0     0 941188 899584  2 10 87  0  0  0
16  0      0 95826772  23700 790288    0    0     0     0 933768 892115  3 10 88  0  0  0
 4  0      0 95825172  23700 790292    0    0     0     0 932359 891415  2 11 87  0  0  0
18  0      0 95822896  23700 790292    0    0     0    50 936360 895009  2 11 87  0  0  0
 5  0      0 95822364  23700 790296    0    0     0    21 940841 898914  2  9 89  0  0  0
 0  0      0 95821568  23700 790300    0    0     0     0 940927 899119  2 10 88  0  0  0
 7  0      0 95820928  23700 790300    0    0     0     0 939320 897448  2 11 86  0  0  0
 3  0      0 95822796  23700 790304    0    0     0     0 941094 899429  2 11 87  0  0  0
 3  0      0 95820372  23700 790304    0    0     0     0 947555 906349  2 10 88  0  0  0
 5  0      0 95820592  23700 790304    0    0     0    36 938745 897789  3 10 87  0  0  0
10  0      0 95820040  23700 790304    0    0     0     0 943676 901913  2 10 88  0  0  0
 7  0      0 95819052  23700 790304    0    0     0     0 945965 904075  2 10 88  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 95819476  23700 790304    0    0     0     0 945050 902413  2  9 88  0  0  0
 1  0      0 95821828  23700 790304    0    0     0     0 943127 902411  2 10 88  0  0  0
 4  0      0 95820576  23712 790308    0    0     0    22 945518 904384  2 10 88  0  0  0
 2  0      0 95821080  23712 790308    0    0     0     0 939593 897027  2  9 88  0  0  0
 7  0      0 95819824  23712 790308    0    0     0     0 938273 895182  2 10 88  0  0  0
