Linux 6.6.121-0-virt (ip-172-31-2-238) 	03/18/26 	_aarch64_	(48 CPU)

21:05:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:05:45        all      0.06      0.00      0.00      0.00      0.00     99.94
21:05:46        all      0.04      0.00      0.00      0.00      0.00     99.96
21:05:47        all      0.04      0.00      0.00      0.00      0.00     99.96
21:05:48        all      0.00      0.00      0.00      0.00      0.00    100.00
21:05:49        all      0.00      0.00      0.00      0.00      0.00    100.00
21:05:50        all      0.00      0.00      0.00      0.00      0.00    100.00
21:05:51        all      0.00      0.00      0.00      0.00      0.00    100.00
21:05:52        all      0.02      0.00      0.00      0.00      0.00     99.98
21:05:53        all      0.02      0.00      0.00      0.00      0.00     99.98
21:05:54        all      8.70      0.00      8.37      0.00      0.00     82.93
21:05:55        all     12.06      0.00     10.94      0.00      0.00     77.00
21:05:56        all     11.84      0.00     10.67      0.00      0.00     77.49
21:05:57        all     12.78      0.00     11.72      0.00      0.00     75.50
21:05:58        all     12.23      0.00     11.05      0.00      0.00     76.72
21:05:59        all     10.65      0.00     10.80      0.00      0.00     78.56
21:06:00        all     11.53      0.00     11.21      0.00      0.00     77.26
21:06:01        all     10.91      0.00     11.18      0.00      0.00     77.91
21:06:02        all     10.46      0.00     11.23      0.00      0.00     78.31
21:06:03        all     10.50      0.00     10.81      0.00      0.00     78.69
21:06:04        all     12.96      0.00     12.14      0.00      0.00     74.90
21:06:05        all     10.88      0.00     10.68      0.00      0.00     78.44
21:06:06        all     11.22      0.00     12.12      0.00      0.00     76.66
21:06:07        all     12.87      0.00     12.31      0.00      0.00     74.82
21:06:08        all     11.88      0.00     12.52      0.00      0.00     75.60
21:06:09        all     11.51      0.00     11.27      0.00      0.00     77.22
21:06:10        all      9.98      0.00     11.33      0.00      0.00     78.69
Average:        all      7.34      0.00      7.23      0.00      0.00     85.42
