Linux 6.6.121-0-virt (ip-172-31-2-238) 	03/18/26 	_aarch64_	(48 CPU)

21:04:44        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:04:45        all      0.04      0.00      0.04      0.00      0.00     99.92
21:04:46        all      0.08      0.00      0.02      0.02      0.00     99.88
21:04:47        all      0.02      0.00      0.02      0.00      0.00     99.96
21:04:48        all      0.00      0.00      0.00      0.00      0.00    100.00
21:04:49        all      0.00      0.00      0.00      0.00      0.00    100.00
21:04:50        all      0.00      0.00      0.00      0.00      0.00    100.00
21:04:51        all      0.00      0.00      0.00      0.00      0.00    100.00
21:04:52        all      0.04      0.00      0.00      0.00      0.00     99.96
21:04:53        all      0.04      0.00      0.02      0.00      0.00     99.94
21:04:54        all     10.68      0.00     12.85      0.00      0.00     76.47
21:04:55        all     13.14      0.00     13.94      0.00      0.00     72.92
21:04:56        all     13.25      0.00     15.79      0.00      0.00     70.96
21:04:57        all     12.70      0.00     14.65      0.00      0.00     72.64
21:04:58        all     12.71      0.00     13.68      0.00      0.00     73.61
21:04:59        all     12.76      0.00     15.27      0.00      0.00     71.97
21:05:00        all     11.33      0.00     14.99      0.00      0.00     73.68
21:05:01        all     13.05      0.00     13.62      0.02      0.00     73.31
21:05:02        all     11.35      0.00     14.91      0.00      0.00     73.74
21:05:03        all     12.00      0.00     14.42      0.00      0.00     73.58
21:05:04        all     11.70      0.00     14.30      0.00      0.00     74.00
21:05:05        all     13.07      0.00     15.07      0.00      0.00     71.86
21:05:06        all     11.07      0.00     14.83      0.00      0.00     74.09
21:05:07        all     12.92      0.00     14.05      0.00      0.00     73.03
21:05:08        all     11.32      0.00     14.75      0.00      0.00     73.93
21:05:09        all     12.21      0.00     14.87      0.00      0.00     72.92
21:05:10        all     11.50      0.00     14.30      0.00      0.00     74.19
Average:        all      7.84      0.00      9.33      0.00      0.00     82.83
