Linux 6.6.121-0-virt (ip-172-31-0-225) 	03/18/26 	_aarch64_	(48 CPU)

21:02:48      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
21:02:49            0       568      0.00      0.19      0.23         0
21:02:50            0       567      0.00      0.19      0.23         0
21:02:51            0       567      0.00      0.19      0.23         0
21:02:52            0       567      0.00      0.19      0.23         0
21:02:53            5       690      0.00      0.19      0.23         0
21:02:54            9       690      0.00      0.19      0.23         0
21:02:55           15       690      0.00      0.19      0.23         0
21:02:56            3       690      0.00      0.19      0.23         0
21:02:57            3       690      0.40      0.27      0.26         0
21:02:58           10       690      0.40      0.27      0.26         0
21:02:59            6       690      0.40      0.27      0.26         0
21:03:00            3       690      0.40      0.27      0.26         0
21:03:01            8       690      0.40      0.27      0.26         0
21:03:02            6       690      0.77      0.35      0.28         0
21:03:03            0       690      0.77      0.35      0.28         0
21:03:04            6       690      0.77      0.35      0.28         0
21:03:05            9       690      0.77      0.35      0.28         0
21:03:06            5       690      0.77      0.35      0.28         0
21:03:07            4       688      1.19      0.44      0.31         0
21:03:08            4       688      1.19      0.44      0.31         0
21:03:09            0       688      1.19      0.44      0.31         0
21:03:10            4       688      1.19      0.44      0.31         0
21:03:11            4       688      1.19      0.44      0.31         0
21:03:12            3       687      1.33      0.48      0.33         0
21:03:13            4       687      1.33      0.48      0.33         0
21:03:14            7       685      1.33      0.48      0.33         0
Average:            5       670      0.61      0.32      0.27         0
