Linux 6.6.121-0-virt (ip-172-31-2-238) 	03/18/26 	_aarch64_	(48 CPU)

21:11:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
21:11:42        all      0.04      0.00      0.02      0.00      0.00     99.94
21:11:43        all      0.06      0.00      0.00      0.00      0.00     99.94
21:11:44        all      0.06      0.00      0.02      0.00      0.00     99.92
21:11:45        all      0.00      0.00      0.00      0.00      0.00    100.00
21:11:46        all      0.00      0.00      0.00      0.00      0.00    100.00
21:11:47        all      0.00      0.00      0.00      0.00      0.00    100.00
21:11:48        all      0.00      0.00      0.00      0.00      0.00    100.00
21:11:49        all      0.00      0.00      0.00      0.00      0.00    100.00
21:11:50        all      0.13      0.00      0.15      0.00      0.00     99.73
21:11:51        all      2.50      0.00      3.28      0.00      0.00     94.22
21:11:52        all      8.18      0.00     11.33      0.00      0.00     80.48
21:11:53        all      8.20      0.00     11.61      0.00      0.00     80.19
21:11:54        all      9.35      0.00     12.34      0.00      0.00     78.31
21:11:55        all      8.76      0.00     12.39      0.00      0.00     78.85
21:11:56        all      8.84      0.00     11.78      0.00      0.00     79.38
21:11:57        all      9.06      0.00     11.66      0.00      0.00     79.28
21:11:58        all      8.74      0.00     12.15      0.00      0.00     79.11
21:11:59        all      8.69      0.00     11.97      0.00      0.00     79.34
21:12:00        all      8.73      0.00     11.52      0.00      0.00     79.75
21:12:01        all      9.15      0.00     12.23      0.00      0.00     78.62
21:12:02        all      9.17      0.00     12.38      0.00      0.00     78.45
21:12:03        all      7.85      0.00     11.47      0.00      0.00     80.68
21:12:04        all      8.36      0.00     12.28      0.00      0.00     79.37
21:12:05        all      7.19      0.00     11.23      0.00      0.00     81.57
21:12:06        all      8.13      0.00     12.68      0.00      0.00     79.19
21:12:07        all      8.50      0.00     12.30      0.00      0.00     79.20
21:12:08        all      8.18      0.00     10.46      0.00      0.00     81.37
21:12:09        all      8.11      0.00     12.10      0.00      0.00     79.79
21:12:10        all      8.90      0.00     12.64      0.00      0.00     78.47
21:12:11        all      8.25      0.00     11.05      0.00      0.00     80.70
21:12:12        all      8.96      0.00     11.83      0.00      0.00     79.21
21:12:13        all      9.05      0.00     12.70      0.00      0.00     78.25
21:12:14        all      8.78      0.00     11.84      0.00      0.00     79.37
21:12:15        all      8.60      0.00     10.26      0.00      0.00     81.15
21:12:16        all      8.96      0.00     11.55      0.00      0.00     79.49
21:12:17        all      8.53      0.00     11.00      0.00      0.00     80.47
21:12:18        all      9.00      0.00     12.20      0.00      0.00     78.80
21:12:19        all      8.27      0.00     11.40      0.00      0.00     80.33
21:12:20        all      8.79      0.00     12.61      0.00      0.00     78.60
21:12:21        all      9.00      0.00     11.01      0.00      0.00     79.99
21:12:22        all      8.51      0.00     11.53      0.00      0.00     79.96
21:12:23        all      8.86      0.00     11.62      0.00      0.00     79.53
21:12:24        all      8.08      0.00     12.55      0.02      0.00     79.35
21:12:25        all      7.50      0.00     11.62      0.00      0.00     80.87
21:12:26        all      8.02      0.00     11.56      0.00      0.00     80.42
21:12:27        all      8.47      0.00     12.78      0.00      0.00     78.75
21:12:28        all      7.87      0.00     12.60      0.00      0.00     79.53
21:12:29        all      8.08      0.00     11.45      0.00      0.00     80.47
21:12:30        all      7.84      0.00     11.97      0.00      0.00     80.19
21:12:31        all      9.02      0.00     12.17      0.00      0.00     78.81
21:12:32        all      8.32      0.00     11.65      0.00      0.00     80.03
21:12:33        all      7.85      0.00     11.89      0.00      0.00     80.26
21:12:34        all      9.33      0.00     12.66      0.00      0.00     78.02
21:12:35        all      6.74      0.00     10.99      0.00      0.00     82.27
21:12:36        all      8.07      0.00     11.74      0.00      0.00     80.19
21:12:37        all      8.85      0.00     12.36      0.00      0.00     78.79
21:12:38        all      9.17      0.00     11.79      0.00      0.00     79.04
21:12:39        all      7.81      0.00     11.23      0.00      0.00     80.96
21:12:40        all      8.48      0.00     11.81      0.00      0.00     79.72
21:12:41        all      8.44      0.00     11.40      0.00      0.00     80.16
21:12:42        all      8.52      0.00     12.15      0.00      0.00     79.33
21:12:43        all      9.01      0.00     12.16      0.00      0.00     78.83
21:12:44        all      9.16      0.00     10.71      0.00      0.00     80.13
21:12:45        all      8.95      0.00     12.44      0.00      0.00     78.62
21:12:46        all      7.66      0.00     11.85      0.00      0.00     80.48
21:12:47        all      8.55      0.00     10.92      0.00      0.00     80.53
21:12:48        all      8.45      0.00     11.12      0.00      0.00     80.43
21:12:49        all      9.06      0.00     11.64      0.00      0.00     79.31
21:12:50        all      8.30      0.00     12.01      0.00      0.00     79.69
Average:        all      7.28      0.00     10.10      0.00      0.00     82.62
