Linux 6.6.121-0-virt (ip-172-31-2-238) 	03/18/26 	_aarch64_	(48 CPU)

21:13:28      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
21:13:29            0       645      4.24      3.73      2.30         0
21:13:30            0       646      3.90      3.67      2.29         0
21:13:31            0       644      3.90      3.67      2.29         0
21:13:32            0       644      3.90      3.67      2.29         0
21:13:33            0       644      3.90      3.67      2.29         0
21:13:34            0       644      3.90      3.67      2.29         0
21:13:35            0       644      3.59      3.61      2.28         0
21:13:36            0       647      3.59      3.61      2.28         0
21:13:37           17       648      3.59      3.61      2.28         0
21:13:38           18       648      3.59      3.61      2.28         0
21:13:39            5       648      3.59      3.61      2.28         0
21:13:40           14       648      3.94      3.68      2.31         0
21:13:41            4       648      3.94      3.68      2.31         0
21:13:42           13       648      3.94      3.68      2.31         0
21:13:43           19       648      3.94      3.68      2.31         0
21:13:44            9       648      3.94      3.68      2.31         0
21:13:45           16       648      4.51      3.80      2.36         0
21:13:46           17       648      4.51      3.80      2.36         0
21:13:47           14       648      4.51      3.80      2.36         0
21:13:48           13       648      4.51      3.80      2.36         0
21:13:49           15       652      4.51      3.80      2.36         0
21:13:50           17       649      5.67      4.06      2.45         0
21:13:51           15       648      5.67      4.06      2.45         0
21:13:52           15       648      5.67      4.06      2.45         0
21:13:53           19       648      5.67      4.06      2.45         0
21:13:54           13       650      5.67      4.06      2.45         0
21:13:55           10       650      5.85      4.12      2.48         0
21:13:56            8       650      5.85      4.12      2.48         0
21:13:57            8       650      5.85      4.12      2.48         0
21:13:58           17       650      5.85      4.12      2.48         0
21:13:59           12       650      5.85      4.12      2.48         0
21:14:00            9       650      6.11      4.20      2.51         0
21:14:01            4       650      6.11      4.20      2.51         0
21:14:02           13       650      6.11      4.20      2.51         0
21:14:03           11       650      6.11      4.20      2.51         0
21:14:04           14       650      6.11      4.20      2.51         0
21:14:05           17       650      6.74      4.37      2.57         0
21:14:06           14       654      6.74      4.37      2.57         0
21:14:07           15       654      6.74      4.37      2.57         0
21:14:08           12       654      6.74      4.37      2.57         0
21:14:09           18       654      6.74      4.37      2.57         0
21:14:10            4       654      6.68      4.39      2.59         0
21:14:11            8       654      6.68      4.39      2.59         0
21:14:12           10       654      6.68      4.39      2.59         0
21:14:13           15       651      6.68      4.39      2.59         0
21:14:14           18       651      6.68      4.39      2.59         0
21:14:15           13       651      7.59      4.62      2.67         0
21:14:16           11       651      7.59      4.62      2.67         0
21:14:17           12       651      7.59      4.62      2.67         0
21:14:18           10       651      7.59      4.62      2.67         0
21:14:19           11       651      7.59      4.62      2.67         0
21:14:20           15       651      8.02      4.76      2.73         0
21:14:21           16       651      8.02      4.76      2.73         0
21:14:22           16       651      8.02      4.76      2.73         0
21:14:23           10       651      8.02      4.76      2.73         0
21:14:24            8       651      8.02      4.76      2.73         0
21:14:25           10       651      8.50      4.91      2.79         0
21:14:26           18       651      8.50      4.91      2.79         0
21:14:27            9       653      8.50      4.91      2.79         0
21:14:28           11       656      8.50      4.91      2.79         0
21:14:29           20       656      8.50      4.91      2.79         0
21:14:30           17       656      7.90      4.85      2.78         0
21:14:31           13       651      7.90      4.85      2.78         0
21:14:32           13       651      7.90      4.85      2.78         0
21:14:33           12       651      7.90      4.85      2.78         0
21:14:34           14       651      7.90      4.85      2.78         0
21:14:35           10       650      7.67      4.85      2.79         0
21:14:36           15       650      7.67      4.85      2.79         0
21:14:37            1       648      7.67      4.85      2.79         0
Average:           11       650      6.12      4.25      2.53         0
