Linux 6.6.121-0-virt (ip-172-31-10-23) 	03/18/26 	_aarch64_	(48 CPU)

22:28:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:28:12        all      0.08      0.00      0.02      0.00      0.00     99.90
22:28:13        all      0.02      0.00      0.00      0.00      0.00     99.98
22:28:14        all      0.00      0.00      0.00      0.00      0.00    100.00
22:28:15        all      0.00      0.00      0.00      0.00      0.00    100.00
22:28:16        all      0.02      0.00      0.00      0.00      0.00     99.98
22:28:17        all      2.44      0.00     14.47      0.11      0.00     82.98
22:28:18        all      4.55      0.00     23.83      0.00      0.00     71.61
22:28:19        all      4.52      0.00     23.82      0.00      0.00     71.66
22:28:20        all      4.05      0.00     22.06      0.00      0.00     73.89
22:28:21        all      4.42      0.00     21.91      0.00      0.00     73.67
22:28:22        all      4.37      0.00     21.67      0.00      0.00     73.96
22:28:23        all      4.71      0.00     21.20      0.00      0.00     74.10
22:28:24        all      3.76      0.00     21.10      0.00      0.00     75.15
22:28:25        all      4.59      0.00     22.42      0.00      0.00     72.99
22:28:26        all      4.63      0.00     22.88      0.00      0.00     72.50
22:28:27        all      4.35      0.00     21.62      0.00      0.00     74.03
22:28:28        all      4.56      0.00     21.31      0.00      0.00     74.13
22:28:29        all      4.09      0.00     22.63      0.00      0.00     73.28
22:28:30        all      4.40      0.00     20.02      0.00      0.00     75.57
22:28:31        all      4.69      0.00     21.92      0.00      0.00     73.39
22:28:32        all      4.07      0.00     20.86      0.00      0.00     75.07
22:28:33        all      4.21      0.00     20.24      0.00      0.00     75.56
22:28:34        all      4.08      0.00     21.79      0.00      0.00     74.13
22:28:35        all      4.10      0.00     22.83      0.00      0.00     73.07
22:28:36        all      4.59      0.00     22.92      0.00      0.00     72.48
22:28:37        all      4.34      0.00     21.96      0.00      0.00     73.70
22:28:38        all      4.43      0.00     22.98      0.00      0.00     72.59
22:28:39        all      4.37      0.00     21.42      0.00      0.00     74.21
22:28:40        all      4.18      0.00     21.32      0.00      0.00     74.51
22:28:41        all      4.23      0.00     23.56      0.00      0.00     72.21
22:28:42        all      4.22      0.00     22.83      0.00      0.00     72.95
22:28:43        all      5.29      0.00     24.02      0.02      0.00     70.67
22:28:44        all      4.43      0.00     21.34      0.00      0.00     74.23
22:28:45        all      3.90      0.00     22.94      0.00      0.00     73.16
22:28:46        all      4.98      0.00     22.78      0.00      0.00     72.24
22:28:47        all      4.20      0.00     21.95      0.00      0.00     73.85
22:28:48        all      5.21      0.00     22.41      0.00      0.00     72.38
22:28:49        all      4.66      0.00     21.96      0.00      0.00     73.38
22:28:50        all      4.54      0.00     21.13      0.00      0.00     74.32
22:28:51        all      4.20      0.00     21.60      0.00      0.00     74.19
22:28:52        all      4.13      0.00     22.04      0.00      0.00     73.84
22:28:53        all      4.46      0.00     22.02      0.00      0.00     73.53
22:28:54        all      4.71      0.00     22.17      0.00      0.00     73.11
22:28:55        all      3.96      0.00     22.12      0.00      0.00     73.92
22:28:56        all      5.04      0.00     22.95      0.00      0.00     72.01
22:28:57        all      4.51      0.00     22.74      0.00      0.00     72.76
22:28:58        all      4.49      0.00     20.24      0.00      0.00     75.26
22:28:59        all      3.75      0.00     23.25      0.00      0.00     73.00
22:29:00        all      4.14      0.00     23.53      0.00      0.00     72.32
22:29:01        all      4.63      0.00     22.37      0.00      0.00     73.00
22:29:02        all      4.34      0.00     20.29      0.00      0.00     75.37
22:29:03        all      3.93      0.00     22.79      0.00      0.00     73.27
22:29:04        all      4.76      0.00     21.03      0.00      0.00     74.21
22:29:05        all      4.44      0.00     24.08      0.00      0.00     71.48
22:29:06        all      4.25      0.00     23.18      0.00      0.00     72.56
22:29:07        all      4.49      0.00     21.66      0.00      0.00     73.85
22:29:08        all      4.03      0.00     22.97      0.00      0.00     73.00
22:29:09        all      4.45      0.00     21.42      0.00      0.00     74.13
22:29:10        all      4.64      0.00     22.04      0.00      0.00     73.32
22:29:11        all      4.74      0.00     21.86      0.00      0.00     73.40
22:29:12        all      4.53      0.00     22.81      0.00      0.00     72.66
22:29:13        all      4.59      0.00     22.06      0.00      0.00     73.36
22:29:14        all      4.25      0.00     22.14      0.00      0.00     73.62
22:29:15        all      4.51      0.00     22.14      0.00      0.00     73.35
22:29:16        all      4.56      0.00     22.08      0.00      0.00     73.36
22:29:17        all      4.59      0.00     20.76      0.00      0.00     74.65
22:29:18        all      4.15      0.00     22.16      0.00      0.00     73.69
22:29:19        all      4.27      0.00     21.23      0.02      0.00     74.47
22:29:20        all      4.23      0.00     21.93      0.00      0.00     73.85
Average:        all      4.04      0.00     20.31      0.00      0.00     75.65
