procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95901076  22996 787276    0    0    26   964 94333   19  0  1 99  0  0  0
 0  0      0 95899872  22996 787284    0    0     0     2  697  347  0  0 100  0  0  0
 0  0      0 95899896  22996 787288    0    0     0     0  832  399  0  0 100  0  0  0
 0  0      0 95899644  22996 787296    0    0     0     0  527  282  0  0 100  0  0  0
 0  0      0 95899644  22996 787296    0    0     0     0  217  225  0  0 100  0  0  0
 0  0      0 95899644  23000 787296    0    0     0    13  102  118  0  0 100  0  0  0
 1  0      0 95872464  23060 787288    0    0     0   519 2603 3816  0  0 100  0  0  0
 4  0      0 95852372  23064 787628    0    0     0    43 1453093 1397803  4 22 73  0  0  0
16  0      0 95851928  23064 787628    0    0     0     0 1498077 1448749  5 24 71  0  0  0
 6  0      0 95849284  23064 787632    0    0     0     0 1506181 1460893  4 22 73  0  0  0
 3  0      0 95848980  23064 787632    0    0     0     0 1488834 1434649  4 23 73  0  0  0
 9  0      0 95848108  23064 787632    0    0     0     2 1500240 1452283  4 21 74  0  0  0
11  0      0 95849484  23068 787632    0    0     0    14 1538913 1498070  5 22 74  0  0  0
 0  0      0 95849692  23068 787636    0    0     0     0 1539293 1502136  5 21 75  0  0  0
27  0      0 95851400  23068 787636    0    0     0     0 1512818 1466346  4 22 74  0  0  0
17  0      0 95851004  23068 787636    0    0     0     0 1501772 1452416  5 23 72  0  0  0
 9  0      0 95849420  23068 787640    0    0     0     0 1516156 1475756  4 22 74  0  0  0
12  0      0 95848312  23068 787640    0    0     0     5 1503720 1456657  5 22 73  0  0  0
10  0      0 95850244  23068 787640    0    0     0     0 1505167 1457022  5 22 74  0  0  0
 0  0      0 95851368  23068 787640    0    0     0     0 1539076 1498106  4 21 75  0  0  0
 0  0      0 95850680  23068 787640    0    0     0     0 1523378 1479138  5 21 75  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
25  0      0 95850200  23068 787640    0    0     0     0 1514017 1467970  4 21 74  0  0  0
 8  0      0 95850768  23068 787640    0    0     0     5 1551487 1515022  4 20 75  0  0  0
16  0      0 95849924  23068 787644    0    0     0     0 1523194 1482401  4 21 75  0  0  0
 6  0      0 95848928  23068 787644    0    0     0     0 1507204 1458991  5 23 72  0  0  0
16  0      0 95850536  23068 787648    0    0     0     0 1511507 1465175  4 23 73  0  0  0
 3  0      0 95854244  23068 787648    0    0     0     0 1504003 1458926  4 22 73  0  0  0
 9  0      0 95852132  23072 787648    0    0     0     5 1541862 1503868  4 24 72  0  0  0
 6  0      0 95850868  23072 787648    0    0     0     0 1548010 1514487  4 22 74  0  0  0
 0  0      0 95851940  23072 787652    0    0     0     0 1536110 1496891  5 21 74  0  0  0
19  0      0 95849724  23072 787652    0    0     0     0 1525801 1481142  4 22 74  0  0  0
12  0      0 95849356  23072 787652    0    0     0     0 1496501 1446469  4 23 72  0  0  0
16  0      0 95850824  23076 787652    0    0     0     6 1487054 1433072  5 23 72  0  0  0
18  0      0 95851572  23076 787656    0    0     0     0 1507960 1459577  5 23 72  0  0  0
10  0      0 95849884  23076 787656    0    0     0     0 1534670 1495332  4 22 74  0  0  0
 1  0      0 95848904  23076 787660    0    0     0     0 1514204 1468625  4 23 72  0  0  0
 9  0      0 95850160  23076 787664    0    0     0     0 1524952 1481883  5 21 74  0  0  0
