Linux 6.6.121-0-virt (ip-172-31-4-226) 	03/18/26 	_aarch64_	(48 CPU)

22:08:03      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
22:08:04            0       630      0.00      0.32      0.38         0
22:08:05            0       632      0.00      0.32      0.38         0
22:08:06            0       629      0.00      0.32      0.38         0
22:08:07            0       629      0.00      0.32      0.38         0
22:08:08            0       629      0.00      0.32      0.38         0
22:08:09            0       629      0.00      0.31      0.38         0
22:08:10            0       629      0.00      0.31      0.38         0
22:08:11            1       633      0.00      0.31      0.38         0
22:08:12           10       633      0.00      0.31      0.38         0
22:08:13            5       633      0.00      0.31      0.38         0
22:08:14            9       633      0.32      0.37      0.40         0
22:08:15            1       633      0.32      0.37      0.40         0
22:08:16            8       633      0.32      0.37      0.40         0
22:08:17           11       633      0.32      0.37      0.40         0
22:08:18            1       633      0.32      0.37      0.40         0
22:08:19            8       633      0.86      0.48      0.43         0
22:08:20            5       633      0.86      0.48      0.43         0
22:08:21            3       633      0.86      0.48      0.43         0
22:08:22            5       633      0.86      0.48      0.43         0
22:08:23           16       633      0.86      0.48      0.43         0
22:08:24            4       633      1.51      0.63      0.48         0
22:08:25           16       633      1.51      0.63      0.48         0
22:08:26            8       633      1.51      0.63      0.48         0
22:08:27            2       633      1.51      0.63      0.48         0
22:08:28            9       633      1.51      0.63      0.48         0
22:08:29            7       633      2.27      0.80      0.53         1
22:08:30           12       633      2.27      0.80      0.53         1
22:08:31            5       633      2.27      0.80      0.53         1
22:08:32            2       633      2.27      0.80      0.53         1
22:08:33            2       633      2.27      0.80      0.53         1
22:08:34           13       633      2.97      0.97      0.59         1
22:08:35            6       633      2.97      0.97      0.59         1
22:08:36           14       633      2.97      0.97      0.59         1
22:08:37           16       633      2.97      0.97      0.59         1
22:08:38           18       633      2.97      0.97      0.59         0
22:08:39            9       633      3.29      1.07      0.63         0
22:08:40            9       633      3.29      1.07      0.63         0
22:08:41            5       633      3.29      1.07      0.63         0
22:08:42            3       633      3.29      1.07      0.63         0
22:08:43            9       633      3.29      1.07      0.63         1
22:08:44            4       633      4.39      1.33      0.71         1
22:08:45            1       633      4.39      1.33      0.71         1
22:08:46           10       633      4.39      1.33      0.71         1
22:08:47           15       633      4.39      1.33      0.71         1
22:08:48           12       633      4.39      1.33      0.71         1
22:08:49            9       633      5.16      1.54      0.79         0
22:08:50           13       633      5.16      1.54      0.79         0
22:08:51            7       633      5.16      1.54      0.79         0
22:08:52           11       633      5.16      1.54      0.79         0
22:08:53           11       633      5.16      1.54      0.79         0
22:08:54            2       633      5.47      1.67      0.83         1
22:08:55           10       633      5.47      1.67      0.83         1
22:08:56            2       633      5.47      1.67      0.83         1
22:08:57           11       633      5.47      1.67      0.83         1
22:08:58            2       633      5.47      1.67      0.83         1
22:08:59           13       634      6.07      1.86      0.90         0
22:09:00           16       634      6.07      1.86      0.90         0
22:09:01            1       634      6.07      1.86      0.90         0
22:09:02            8       634      6.07      1.86      0.90         0
22:09:03           12       634      6.07      1.86      0.90         0
22:09:04            2       634      6.55      2.02      0.96         1
22:09:05           15       634      6.55      2.02      0.96         1
22:09:06           14       634      6.55      2.02      0.96         1
22:09:07            3       634      6.55      2.02      0.96         1
22:09:08           11       634      6.55      2.02      0.96         0
22:09:09            7       634      7.14      2.22      1.03         0
22:09:10            9       633      7.14      2.22      1.03         0
22:09:11           17       633      7.14      2.22      1.03         0
22:09:12            6       631      7.14      2.22      1.03         0
Average:            7       633      3.23      1.10      0.64         0
