Linux 6.6.121-0-virt (ip-172-31-10-23) 	03/18/26 	_aarch64_	(48 CPU)

22:16:33        CPU     %user     %nice   %system   %iowait    %steal     %idle
22:16:34        all      0.04      0.00      0.02      0.00      0.00     99.94
22:16:35        all      0.04      0.00      0.00      0.00      0.00     99.96
22:16:36        all      0.00      0.00      0.00      0.00      0.00    100.00
22:16:37        all      0.00      0.00      0.00      0.00      0.00    100.00
22:16:38        all      0.04      0.00      0.00      0.00      0.00     99.96
22:16:39        all      1.45      0.00      6.55      0.13      0.00     91.87
22:16:40        all      2.37      0.00     12.32      0.00      0.00     85.31
22:16:41        all      1.95      0.00     11.52      0.00      0.00     86.53
22:16:42        all      2.35      0.00     11.67      0.00      0.00     85.97
22:16:43        all      2.50      0.00     12.96      0.00      0.00     84.54
22:16:44        all      2.70      0.00     11.23      0.00      0.00     86.06
22:16:45        all      2.41      0.00     11.81      0.00      0.00     85.78
22:16:46        all      2.67      0.00     12.22      0.00      0.00     85.11
22:16:47        all      2.73      0.00     12.31      0.00      0.00     84.96
22:16:48        all      2.79      0.00     12.52      0.00      0.00     84.68
22:16:49        all      2.35      0.00     12.50      0.00      0.00     85.15
22:16:50        all      2.82      0.00     11.97      0.00      0.00     85.21
22:16:51        all      3.12      0.00     13.88      0.00      0.00     83.00
22:16:52        all      3.35      0.00     13.39      0.00      0.00     83.26
22:16:53        all      2.40      0.00     12.68      0.00      0.00     84.92
22:16:54        all      2.38      0.00     12.74      0.00      0.00     84.88
22:16:55        all      2.19      0.00     12.67      0.00      0.00     85.14
22:16:56        all      2.81      0.00     11.92      0.00      0.00     85.27
22:16:57        all      2.19      0.00     11.78      0.00      0.00     86.02
22:16:58        all      2.73      0.00     13.11      0.00      0.00     84.16
22:16:59        all      2.70      0.00     10.81      0.00      0.00     86.49
22:17:00        all      2.76      0.00     12.49      0.00      0.00     84.74
22:17:01        all      2.59      0.00     13.02      0.00      0.00     84.39
22:17:02        all      1.96      0.00     11.15      0.00      0.00     86.90
22:17:03        all      2.78      0.00     13.26      0.00      0.00     83.96
22:17:04        all      2.31      0.00     12.78      0.00      0.00     84.92
22:17:05        all      2.84      0.00     12.43      0.00      0.00     84.73
22:17:06        all      2.29      0.00     11.50      0.00      0.00     86.21
22:17:07        all      2.42      0.00     12.93      0.00      0.00     84.66
22:17:08        all      2.46      0.00     12.98      0.00      0.00     84.56
22:17:09        all      2.41      0.00     11.08      0.00      0.00     86.51
22:17:10        all      2.58      0.00     12.62      0.02      0.00     84.78
22:17:11        all      2.68      0.00     13.17      0.00      0.00     84.15
22:17:12        all      3.17      0.00     14.34      0.00      0.00     82.50
22:17:13        all      2.61      0.00     12.78      0.00      0.00     84.61
22:17:14        all      2.35      0.00     12.51      0.00      0.00     85.14
22:17:15        all      2.95      0.00     12.88      0.00      0.00     84.17
22:17:16        all      2.72      0.00     12.82      0.00      0.00     84.47
22:17:17        all      2.85      0.00     12.65      0.00      0.00     84.50
22:17:18        all      2.66      0.00     11.97      0.00      0.00     85.37
22:17:19        all      2.89      0.00     12.16      0.00      0.00     84.95
22:17:20        all      2.84      0.00     13.79      0.00      0.00     83.37
22:17:21        all      2.81      0.00     14.11      0.00      0.00     83.08
22:17:22        all      2.48      0.00     12.75      0.00      0.00     84.77
22:17:23        all      2.74      0.00     13.11      0.00      0.00     84.14
22:17:24        all      2.54      0.00     13.85      0.00      0.00     83.61
22:17:25        all      3.12      0.00     13.59      0.00      0.00     83.29
22:17:26        all      2.93      0.00     14.37      0.00      0.00     82.71
22:17:27        all      2.76      0.00     13.40      0.00      0.00     83.84
22:17:28        all      2.82      0.00     14.19      0.00      0.00     82.99
22:17:29        all      2.42      0.00     13.13      0.00      0.00     84.45
22:17:30        all      1.96      0.00     11.89      0.00      0.00     86.15
22:17:31        all      2.11      0.00     11.25      0.00      0.00     86.65
22:17:32        all      2.54      0.00     13.82      0.00      0.00     83.64
22:17:33        all      3.07      0.00     13.58      0.00      0.00     83.36
22:17:34        all      3.42      0.00     13.71      0.00      0.00     82.86
22:17:35        all      2.37      0.00     12.26      0.00      0.00     85.37
22:17:36        all      2.35      0.00     13.37      0.00      0.00     84.28
22:17:37        all      2.21      0.00     12.17      0.00      0.00     85.63
22:17:38        all      2.45      0.00     12.94      0.00      0.00     84.61
22:17:39        all      2.80      0.00     13.80      0.00      0.00     83.40
22:17:40        all      2.96      0.00     13.54      0.00      0.00     83.49
22:17:41        all      2.48      0.00     13.24      0.00      0.00     84.28
22:17:42        all      2.49      0.00     11.65      0.00      0.00     85.86
Average:        all      2.40      0.00     11.66      0.00      0.00     85.94
