Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

07:39:35      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
07:39:36            0       598      0.91      0.70      0.28         0
07:39:37            0       597      0.83      0.68      0.28         0
07:39:38            0       597      0.83      0.68      0.28         0
07:39:39            0       597      0.83      0.68      0.28         0
07:39:40            9       719      0.83      0.68      0.28         0
07:39:41            9       719      0.83      0.68      0.28         0
07:39:42            1       719      1.41      0.81      0.32         0
07:39:43           16       719      1.41      0.81      0.32         0
07:39:44           17       719      1.41      0.81      0.32         0
07:39:45            0       719      1.41      0.81      0.32         0
07:39:46           14       719      1.41      0.81      0.32         0
07:39:47           28       719      1.70      0.88      0.34         0
07:39:48            9       719      1.70      0.88      0.34         0
07:39:49            8       719      1.70      0.88      0.34         0
07:39:50            0       719      1.70      0.88      0.34         0
07:39:51            9       719      1.70      0.88      0.34         0
07:39:52            8       719      1.64      0.88      0.35         0
07:39:53            2       719      1.64      0.88      0.35         0
07:39:54            0       719      1.64      0.88      0.35         0
07:39:55           14       719      1.64      0.88      0.35         0
07:39:56           11       719      1.64      0.88      0.35         0
07:39:57            1       719      2.79      1.13      0.43         0
07:39:58           18       719      2.79      1.13      0.43         0
07:39:59           20       719      2.79      1.13      0.43         0
07:40:00           15       719      2.79      1.13      0.43         0
07:40:01           22       719      2.79      1.13      0.43         0
07:40:02           16       719      3.37      1.28      0.48         0
07:40:03           10       719      3.37      1.28      0.48         0
07:40:04           20       719      3.37      1.28      0.48         0
07:40:05            2       719      3.37      1.28      0.48         0
07:40:06           14       719      3.37      1.28      0.48         0
07:40:07            9       719      3.74      1.39      0.52         0
07:40:08           10       719      3.74      1.39      0.52         0
07:40:09           15       719      3.74      1.39      0.52         0
07:40:10           19       720      3.74      1.39      0.52         0
07:40:11           23       720      3.74      1.39      0.52         0
07:40:12            3       720      4.48      1.58      0.59         0
07:40:13           18       720      4.48      1.58      0.59         0
07:40:14            0       720      4.48      1.58      0.59         0
07:40:15           14       720      4.48      1.58      0.59         0
07:40:16            0       720      4.48      1.58      0.59         0
07:40:17            9       720      4.36      1.61      0.60         0
07:40:18           17       720      4.36      1.61      0.60         0
07:40:19            6       720      4.36      1.61      0.60         0
07:40:20            9       720      4.36      1.61      0.60         0
07:40:21           11       720      4.36      1.61      0.60         0
07:40:22            9       720      4.81      1.75      0.65         0
07:40:23            0       720      4.81      1.75      0.65         0
07:40:24            3       720      4.81      1.75      0.65         0
07:40:25            3       720      4.81      1.75      0.65         0
07:40:26            7       720      4.81      1.75      0.65         0
07:40:27           16       720      5.39      1.92      0.72         0
07:40:28            5       720      5.39      1.92      0.72         0
07:40:29           14       720      5.39      1.92      0.72         0
07:40:30            6       720      5.39      1.92      0.72         0
07:40:31            4       720      5.39      1.92      0.72         0
07:40:32           18       720      5.04      1.90      0.72         0
07:40:33           21       720      5.04      1.90      0.72         0
07:40:34            8       720      5.04      1.90      0.72         0
07:40:35           20       720      5.04      1.90      0.72         0
07:40:36            1       720      5.04      1.90      0.72         0
07:40:37            9       716      5.60      2.07      0.78         0
07:40:38           15       716      5.60      2.07      0.78         0
07:40:39           10       716      5.60      2.07      0.78         0
07:40:40           18       716      5.60      2.07      0.78         0
07:40:41           11       716      5.60      2.07      0.78         0
07:40:42           14       714      5.31      2.07      0.79         0
07:40:43           17       714      5.31      2.07      0.79         0
07:40:44            9       712      5.31      2.07      0.79         0
Average:           10       712      3.52      1.40      0.53         0
