procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95926936  22748 787152    0    0    25   932 60508   12  0  1 99  0  0  0
 0  0      0 95926460  22748 787160    0    0     0     0  684  333  0  0 100  0  0  0
 0  0      0 95926208  22748 787164    0    0     0     0  668  474  0  0 100  0  0  0
 0  0      0 95925464  22748 787172    0    0     0     0  633  329  0  0 100  0  0  0
 0  0      0 95925464  22748 787176    0    0     0     0  127  134  0  0 100  0  0  0
 0  0      0 95925464  22748 787176    0    0     0    11  109  122  0  0 100  0  0  0
 0  0      0 95925224  22748 787176    0    0     0    21  461  339  0  0 100  0  0  0
 2  0      0 95874612  22796 787472    0    0     0   577 853238 819504  2 10 88  0  0  0
 4  0      0 95864760  22796 787540    0    0     0     0 1066936 1029931  2 11 87  0  0  0
14  0      0 95862792  22796 787540    0    0     0     0 1064926 1029985  2 10 88  0  0  0
 8  0      0 95860580  22796 787544    0    0     0     0 1078133 1044146  2 10 88  0  0  0
 0  0      0 95859680  22796 787544    0    0     0     0 1077643 1043271  2  9 89  0  0  0
 5  0      0 95868436  22800 787544    0    0     0    13 1066091 1029557  2 10 88  0  0  0
 3  0      0 95869016  22800 787548    0    0     0     0 1067950 1031854  3 10 88  0  0  0
12  0      0 95871716  22800 787548    0    0     0     0 1063959 1028315  2 11 87  0  0  0
 5  0      0 95866308  22800 787548    0    0     0     0 1072111 1034405  2 10 88  0  0  0
 9  0      0 95870992  22800 787552    0    0     0     0 1073384 1035772  3 11 87  0  0  0
 3  0      0 95864252  22800 787552    0    0     0    57 1072969 1038833  2 10 88  0  0  0
 3  0      0 95865916  22800 787552    0    0     0     0 1076510 1043289  2  9 89  0  0  0
 4  0      0 95865496  22800 787552    0    0     0     0 1072850 1038617  3 10 88  0  0  0
 6  0      0 95870924  22800 787552    0    0     0     0 1075207 1038727  3 11 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 95868020  22800 787552    0    0     0     0 1069213 1033992  3 10 88  0  0  0
 7  0      0 95864344  22800 787552    0    0     0    22 1075879 1037334  2 11 87  0  0  0
 6  0      0 95868912  22800 787556    0    0     0     0 1081693 1045956  2 10 88  0  0  0
 3  0      0 95865116  22800 787556    0    0     0     0 1079102 1042363  2 11 87  0  0  0
 1  0      0 95865824  22800 787560    0    0     0     0 1069060 1032089  2 11 87  0  0  0
10  0      0 95868884  22800 787560    0    0     0     0 1074570 1038317  2 11 86  0  0  0
12  0      0 95870724  22800 787560    0    0     0    10 1069455 1033238  2  9 89  0  0  0
 2  0      0 95865676  22800 787560    0    0     0     0 1076856 1040353  2 10 87  0  0  0
 3  0      0 95868856  22800 787564    0    0     0     0 1069644 1032952  3 10 88  0  0  0
10  0      0 95876900  22800 787564    0    0     0     0 1074892 1039122  3 10 88  0  0  0
 5  0      0 95869484  22800 787564    0    0     0     0 1074117 1038140  2 11 87  0  0  0
 7  0      0 95867740  22800 787564    0    0     0     5 1067684 1032282  2 11 87  0  0  0
 0  0      0 95864224  22800 787564    0    0     0     0 1067858 1030691  3 11 86  0  0  0
 1  0      0 95860020  22800 787564    0    0     0     0 1069728 1033034  3 11 86  0  0  0
 3  0      0 95868176  22800 787568    0    0     0     0 1066744 1028036  2 11 87  0  0  0
 1  0      0 95869188  22800 787568    0    0     0     0 1070177 1032409  3 11 86  0  0  0
 2  0      0 95869872  22804 787568    0    0     0    25 1076020 1040080  2 10 87  0  0  0
13  0      0 95871688  22804 787572    0    0     0     0 1082869 1046711  2 11 87  0  0  0
 8  0      0 95860280  22804 787572    0    0     0     0 1082708 1043819  2 10 87  0  0  0
 2  0      0 95861884  22804 787572    0    0     0     0 1067136 1029149  2 10 88  0  0  0
 4  0      0 95865268  22804 787572    0    0     0     0 1077521 1039707  2 11 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95862144  22808 787580    0    0     0     5 1075971 1037329  3 10 87  0  0  0
 8  0      0 95870680  22808 787580    0    0     0     0 1082556 1048337  2  9 89  0  0  0
 6  0      0 95871160  22808 787580    0    0     0     0 1077250 1039817  2 11 88  0  0  0
 5  0      0 95868616  22808 787580    0    0     0     0 1085893 1048690  2 10 87  0  0  0
 2  0      0 95859196  22808 787580    0    0     0     0 1077840 1041614  2 10 88  0  0  0
 4  0      0 95864728  22808 787580    0    0     0     5 1074758 1037445  2 10 87  0  0  0
 6  0      0 95864748  22808 787588    0    0     0     0 1072594 1035580  2 11 87  0  0  0
 7  0      0 95865188  22808 787588    0    0     0     0 1075068 1037171  3 11 86  0  0  0
