Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

13:44:59      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
13:45:00            0       572      1.09      2.82      2.05         0
13:45:01            0       571      1.09      2.82      2.05         0
13:45:02            0       571      1.00      2.77      2.03         0
13:45:03            0       571      1.00      2.77      2.03         0
13:45:04           12       693      1.00      2.77      2.03         0
13:45:05            1       693      1.00      2.77      2.03         0
13:45:06           12       693      1.00      2.77      2.03         0
13:45:07           12       693      0.92      2.72      2.02         0
13:45:08            1       693      0.92      2.72      2.02         0
13:45:09            1       693      0.92      2.72      2.02         0
13:45:10            9       693      0.92      2.72      2.02         0
13:45:11           13       693      0.92      2.72      2.02         0
13:45:12           11       693      0.93      2.69      2.02         0
13:45:13            6       693      0.93      2.69      2.02         0
13:45:14           14       693      0.93      2.69      2.02         0
13:45:15           10       693      0.93      2.69      2.02         0
13:45:16           14       693      0.93      2.69      2.02         0
13:45:17            1       693      1.25      2.73      2.03         0
13:45:18           17       693      1.25      2.73      2.03         0
13:45:19           14       693      1.25      2.73      2.03         0
13:45:20           11       693      1.25      2.73      2.03         0
13:45:21            6       693      1.25      2.73      2.03         0
13:45:22           14       693      1.15      2.69      2.02         0
13:45:23           16       693      1.15      2.69      2.02         0
13:45:24            9       693      1.15      2.69      2.02         0
13:45:25           24       693      1.15      2.69      2.02         0
13:45:26            7       693      1.15      2.69      2.02         0
13:45:27            4       693      2.98      3.04      2.14         0
13:45:28            8       693      2.98      3.04      2.14         0
13:45:29           18       693      2.98      3.04      2.14         0
13:45:30           18       693      2.98      3.04      2.14         0
13:45:31            9       693      2.98      3.04      2.14         0
13:45:32           11       693      2.82      3.01      2.13         0
13:45:33            9       693      2.82      3.01      2.13         0
13:45:34           15       694      2.82      3.01      2.13         0
13:45:35            4       694      2.82      3.01      2.13         0
13:45:36           21       694      2.82      3.01      2.13         0
13:45:37           17       694      3.72      3.19      2.20         0
13:45:38            5       694      3.72      3.19      2.20         0
13:45:39           14       694      3.72      3.19      2.20         0
13:45:40            2       694      3.72      3.19      2.20         0
13:45:41            6       694      3.72      3.19      2.20         0
13:45:42           16       694      3.58      3.17      2.20         0
13:45:43           18       694      3.58      3.17      2.20         0
13:45:44            8       694      3.58      3.17      2.20         0
13:45:45           15       694      3.58      3.17      2.20         0
13:45:46           19       694      3.58      3.17      2.20         0
13:45:47           17       694      3.77      3.22      2.22         0
13:45:48           10       694      3.77      3.22      2.22         0
13:45:49           11       694      3.77      3.22      2.22         0
13:45:50           14       694      3.77      3.22      2.22         0
13:45:51            1       694      3.77      3.22      2.22         0
13:45:52           14       694      5.23      3.53      2.32         0
13:45:53            2       694      5.23      3.53      2.32         0
13:45:54           19       694      5.23      3.53      2.32         0
13:45:55           17       694      5.23      3.53      2.32         0
13:45:56           12       694      5.23      3.53      2.32         0
13:45:57            1       694      5.46      3.60      2.35         0
13:45:58            0       694      5.46      3.60      2.35         0
13:45:59           16       694      5.46      3.60      2.35         0
13:46:00            6       694      5.46      3.60      2.35         0
13:46:01           17       694      5.46      3.60      2.35         0
13:46:02           13       694      5.74      3.69      2.39         0
13:46:03            6       694      5.74      3.69      2.39         0
13:46:04            7       694      5.74      3.69      2.39         0
13:46:05           18       694      5.74      3.69      2.39         0
13:46:06            7       693      5.74      3.69      2.39         0
13:46:07            9       693      6.72      3.93      2.47         0
13:46:08            2       691      6.72      3.93      2.47         0
Average:           10       686      3.02      3.10      2.17         0
