Linux 6.6.121-0-virt (ip-172-31-7-252) 	03/19/26 	_aarch64_	(48 CPU)

13:38:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
13:38:46        all      0.08      0.00      0.00      0.00      0.00     99.92
13:38:47        all      0.04      0.00      0.00      0.00      0.00     99.96
13:38:48        all      0.00      0.00      0.00      0.00      0.00    100.00
13:38:49        all      0.00      0.00      0.00      0.00      0.00    100.00
13:38:50        all      0.02      0.00      0.00      0.00      0.00     99.98
13:38:51        all      1.97      0.00      8.51      0.13      0.00     89.39
13:38:52        all      3.80      0.00     18.30      0.00      0.00     77.90
13:38:53        all      3.52      0.00     17.75      0.00      0.00     78.73
13:38:54        all      3.86      0.00     16.93      0.00      0.00     79.21
13:38:55        all      4.01      0.00     19.83      0.00      0.00     76.16
13:38:56        all      4.62      0.00     19.10      0.00      0.00     76.28
13:38:57        all      3.72      0.00     19.59      0.00      0.00     76.69
13:38:58        all      4.43      0.00     18.87      0.00      0.00     76.70
13:38:59        all      3.89      0.00     17.03      0.00      0.00     79.07
13:39:00        all      3.83      0.00     18.62      0.00      0.00     77.55
13:39:01        all      4.23      0.00     20.97      0.00      0.00     74.79
13:39:02        all      3.89      0.00     19.67      0.00      0.00     76.44
13:39:03        all      3.73      0.00     19.55      0.00      0.00     76.72
13:39:04        all      3.73      0.00     19.00      0.00      0.00     77.27
13:39:05        all      3.85      0.00     20.16      0.00      0.00     75.99
13:39:06        all      3.83      0.00     18.63      0.00      0.00     77.54
13:39:07        all      4.15      0.00     18.00      0.00      0.00     77.85
13:39:08        all      4.22      0.00     18.86      0.00      0.00     76.91
13:39:09        all      4.21      0.00     19.13      0.00      0.00     76.66
13:39:10        all      4.22      0.00     18.67      0.00      0.00     77.11
13:39:11        all      4.44      0.00     18.68      0.00      0.00     76.88
13:39:12        all      3.41      0.00     17.14      0.00      0.00     79.45
13:39:13        all      4.14      0.00     19.38      0.00      0.00     76.48
13:39:14        all      4.02      0.00     17.69      0.00      0.00     78.29
13:39:15        all      4.32      0.00     19.71      0.00      0.00     75.97
13:39:16        all      4.35      0.00     19.63      0.00      0.00     76.02
13:39:17        all      4.54      0.00     21.46      0.00      0.00     74.00
13:39:18        all      4.31      0.00     17.88      0.00      0.00     77.81
13:39:19        all      3.92      0.00     18.79      0.00      0.00     77.29
13:39:20        all      4.15      0.00     20.06      0.00      0.00     75.79
13:39:21        all      4.02      0.00     18.65      0.00      0.00     77.33
13:39:22        all      3.98      0.00     18.62      0.00      0.00     77.39
13:39:23        all      4.20      0.00     18.29      0.00      0.00     77.51
13:39:24        all      4.32      0.00     20.89      0.00      0.00     74.79
13:39:25        all      4.05      0.00     19.85      0.00      0.00     76.10
13:39:26        all      4.41      0.00     18.25      0.00      0.00     77.34
13:39:27        all      4.08      0.00     19.58      0.00      0.00     76.34
13:39:28        all      3.62      0.00     18.44      0.00      0.00     77.94
13:39:29        all      3.88      0.00     17.88      0.00      0.00     78.24
13:39:30        all      4.88      0.00     20.81      0.00      0.00     74.31
13:39:31        all      3.74      0.00     19.33      0.00      0.00     76.93
13:39:32        all      4.09      0.00     19.84      0.02      0.00     76.05
13:39:33        all      5.37      0.00     20.02      0.00      0.00     74.61
13:39:34        all      4.14      0.00     18.90      0.00      0.00     76.96
13:39:35        all      4.22      0.00     18.87      0.00      0.00     76.91
13:39:36        all      3.71      0.00     18.95      0.00      0.00     77.34
13:39:37        all      3.95      0.00     18.60      0.00      0.00     77.44
13:39:38        all      4.33      0.00     19.11      0.00      0.00     76.56
13:39:39        all      3.59      0.00     18.65      0.00      0.00     77.76
13:39:40        all      4.27      0.00     18.68      0.00      0.00     77.05
13:39:41        all      4.14      0.00     21.16      0.00      0.00     74.69
13:39:42        all      3.83      0.00     21.66      0.00      0.00     74.51
13:39:43        all      3.84      0.00     19.76      0.02      0.00     76.38
13:39:44        all      4.07      0.00     21.16      0.00      0.00     74.77
13:39:45        all      3.34      0.00     19.62      0.00      0.00     77.04
13:39:46        all      4.29      0.00     20.85      0.00      0.00     74.86
13:39:47        all      3.91      0.00     19.77      0.00      0.00     76.32
13:39:48        all      3.78      0.00     18.52      0.00      0.00     77.71
13:39:49        all      3.94      0.00     20.45      0.00      0.00     75.61
13:39:50        all      4.24      0.00     19.61      0.00      0.00     76.15
13:39:51        all      4.57      0.00     20.14      0.00      0.00     75.29
13:39:52        all      4.08      0.00     20.14      0.00      0.00     75.79
13:39:53        all      3.69      0.00     20.13      0.00      0.00     76.18
13:39:54        all      4.07      0.00     19.66      0.00      0.00     76.27
Average:        all      3.73      0.00     17.64      0.00      0.00     78.63
