procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95347536  24576 1316224    0    0     3   403 27220    3  0  0 99  0  0  0
 0  0      0 95347960  24576 1316236    0    0     0     0  939  440  0  0 100  0  0  0
 0  0      0 95347244  24576 1316240    0    0     0    19  910  669  0  0 100  0  0  0
 0  0      0 95347004  24576 1316248    0    0     0     0  584  319  0  0 100  0  0  0
 0  0      0 95346780  24576 1316348    0    0     0     0  335  242  0  0 100  0  0  0
 0  0      0 95346780  24576 1316364    0    0     0     0  146  189  0  0 100  0  0  0
 0  0      0 95346780  24576 1316384    0    0     0     0  214  248  0  0 100  0  0  0
 0  0      0 95346780  24576 1316404    0    0     0    11  143  161  0  0 100  0  0  0
 0  0      0 95346780  24576 1316420    0    0     0     0  118  136  0  0 100  0  0  0
 0  0      0 95346780  24576 1316444    0    0     0     0  356  241  0  0 100  0  0  0
 7  0      0 95248732  24576 1317372    0    0     0     0 178769 47444  2  2 97  0  0  0
20  0      0 95235432  24576 1317452    0    0     0     0 1070119 264508 13 12 76  0  0  0
15  0      0 95241696  24576 1317472    0    0     0     0 1071744 264793 13 12 76  0  0  0
11  0      0 95239628  24580 1317496    0    0     0    12 1073492 265098 13 11 76  0  0  0
20  0      0 95234000  24580 1327596    0    0     0     0 1075053 266301 12 11 77  0  0  0
 9  0      0 95224560  24580 1329964    0    0     0     0 1069357 264375 11 11 78  0  0  0
16  0      0 95225072  24580 1333288    0    0     0     0 1072984 266210 12 11 77  0  0  0
 8  0      0 95220568  24580 1336092    0    0     0     0 1067063 264839 13 12 75  0  0  0
16  0      0 95220844  24580 1339120    0    0     0     7 1070565 266145 12 11 77  0  0  0
19  0      0 95212996  24580 1341560    0    0     0     0 1073907 266264 12 12 77  0  0  0
10  0      0 95214156  24580 1344648    0    0     0     0 1071488 267691 13 11 76  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
16  0      0 95208704  24580 1346464    0    0     0     0 1071605 266396 12 11 78  0  0  0
 9  0      0 95210464  24580 1349880    0    0     0     0 1067778 264972 13 12 76  0  0  0
15  0      0 95204748  24580 1351748    0    0     0     7 1069854 264675 12 11 77  0  0  0
14  0      0 95205092  24580 1354912    0    0     0     0 1075183 264346 12 12 76  0  0  0
12  0      0 95200216  24580 1356844    0    0     0     0 1068901 264074 12 10 77  0  0  0
 2  0      0 95204252  24580 1359336    0    0     0     0 1075185 267530 12 10 78  0  0  0
13  0      0 95197188  24580 1362736    0    0     0    13 1073630 266762 12 11 77  0  0  0
19  0      0 95189144  24580 1365368    0    0     0    15 1072685 265310 13 11 76  0  0  0
 8  0      0 95188644  24580 1367828    0    0     0     0 1080431 267635 12 11 77  0  0  0
 2  0      0 95183748  24580 1370648    0    0     0     0 1075847 266041 11 11 78  0  0  0
14  0      0 95184760  24580 1372908    0    0     0     0 1073277 265189 11 11 78  0  0  0
 1  0      0 95180872  24580 1375708    0    0     0    10 1066837 265370 12 11 77  0  0  0
 2  0      0 95181892  24584 1377884    0    0     0     9 1069804 265820 11 11 79  0  0  0
14  0      0 95182608  24584 1379104    0    0     0     0 1072274 266580 12 12 77  0  0  0
 4  0      0 95172376  24584 1383296    0    0     0     0 1067902 264619 12 11 77  0  0  0
 3  0      0 95171020  24584 1385700    0    0     0     0 1075889 267374 12 10 78  0  0  0
10  0      0 95170272  24584 1387604    0    0     0   657 1071239 265453 12 11 77  0  0  0
 3  0      0 95171528  24584 1391312    0    0     0    11 1072842 266885 13 11 77  0  0  0
11  0      0 95161340  24584 1393676    0    0     0     0 1076004 267688 11 10 78  0  0  0
 8  0      0 95164016  24584 1395536    0    0     0     0 1074625 266563 13 12 75  0  0  0
10  0      0 95164404  24584 1398964    0    0     0     0 1079778 268506 11 11 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95162008  24584 1401620    0    0     0 75108 1080750 270020 12 11 77  0  0  0
 5  0      0 95151984  24584 1402860    0    0     0    19 1081925 271160 13 11 76  0  0  0
 9  0      0 95154184  24584 1406916    0    0     0     0 1078953 270472 11 11 77  0  0  0
13  0      0 95149716  24584 1408856    0    0     0     0 1081002 270535 13 12 75  0  0  0
 7  0      0 95152856  24584 1412164    0    0     0     0 1084092 270600 12 11 77  0  0  0
20  0      0 95140948  24584 1414472    0    0     0     0 1084407 272028 14 12 74  0  0  0
 3  0      0 95141708  24588 1417500    0    0     0     7 1080638 270831 13 11 76  0  0  0
14  0      0 95138876  24588 1419824    0    0     0     0 1085183 271020 13 11 76  0  0  0
 1  0      0 95136208  24588 1422508    0    0     0     0 1082666 269895 13 12 75  0  0  0
 2  0      0 95133892  24588 1425232    0    0     0     0 1084407 270328 12 12 76  0  0  0
11  0      0 95131912  24588 1427680    0    0     0     0 1082483 269933 12 11 77  0  0  0
 8  0      0 95130560  24588 1429988    0    0     0     0 1083198 270989 12 11 77  0  0  0
12  0      0 95127156  24592 1432912    0    0     0     7 1080770 268962 12 12 75  0  0  0
12  0      0 95123696  24592 1435592    0    0     0     0 1084096 269049 12 11 77  0  0  0
 2  0      0 95117620  24592 1438268    0    0     0     0 1075373 267152 12 11 77  0  0  0
 8  0      0 95116308  24592 1440588    0    0     0     0 1082986 270115 13 11 76  0  0  0
17  0      0 95117208  24592 1441836    0    0     0    47 1081778 270975 12 11 77  0  0  0
 9  0      0 95113016  24592 1445876    0    0     0     8 1080880 269690 12 10 78  0  0  0
 8  0      0 95109896  24592 1447928    0    0     0     0 1077069 268417 12 11 77  0  0  0
 9  0      0 95102832  24592 1451048    0    0     0     0 1075361 267887 11 12 77  0  0  0
 6  0      0 95102464  24592 1453164    0    0     0     0 1083913 270823 10 10 80  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 95097848  24592 1455944    0    0     0     4 1083462 271163 12 11 77  0  0  0
 7  0      0 95107892  24592 1456640    0    0     0     9 1082125 270163 13 11 76  0  0  0
19  0      0 95100064  24592 1461500    0    0     0     0 1080114 270402 14 12 75  0  0  0
15  0      0 95093796  24592 1463652    0    0     0     0 1086675 271782 12 11 77  0  0  0
 3  0      0 95092156  24592 1466524    0    0     0     0 1082011 271114 12 11 76  0  0  0
12  0      0 95089652  24592 1468868    0    0     0    27 1083086 269183 13 12 76  0  0  0
