Linux 6.6.121-0-virt (ip-172-31-1-247) 	03/19/26 	_aarch64_	(48 CPU)

13:35:05      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
13:35:06            0       642      0.06      0.87      0.79         0
13:35:07            0       643      0.06      0.87      0.79         0
13:35:08            0       640      0.06      0.87      0.79         0
13:35:09            0       640      0.06      0.87      0.79         0
13:35:10            0       640      0.05      0.85      0.78         0
13:35:11            0       640      0.05      0.85      0.78         0
13:35:12            0       640      0.05      0.85      0.78         0
13:35:13            0       641      0.05      0.85      0.78         0
13:35:14            4       640      0.05      0.85      0.78         0
13:35:15           10       640      0.29      0.89      0.80         0
13:35:16            4       640      0.29      0.89      0.80         0
13:35:17           11       640      0.29      0.89      0.80         0
13:35:18           12       640      0.29      0.89      0.80         0
13:35:19           11       640      0.29      0.89      0.80         0
13:35:20            4       640      0.75      0.97      0.82         0
13:35:21            9       640      0.75      0.97      0.82         0
13:35:22            1       640      0.75      0.97      0.82         0
13:35:23           11       640      0.75      0.97      0.82         0
13:35:24            4       640      0.75      0.97      0.82         0
13:35:25            1       640      1.57      1.14      0.88         0
13:35:26            3       640      1.57      1.14      0.88         0
13:35:27            2       640      1.57      1.14      0.88         0
13:35:28            9       640      1.57      1.14      0.88         0
13:35:29            2       640      1.57      1.14      0.88         0
13:35:30           19       638      2.00      1.24      0.91         0
13:35:31            7       638      2.00      1.24      0.91         0
13:35:32            2       638      2.00      1.24      0.91         0
13:35:33            1       638      2.00      1.24      0.91         0
13:35:34           16       638      2.00      1.24      0.91         0
13:35:35            4       638      2.56      1.37      0.95         0
13:35:36            7       638      2.56      1.37      0.95         0
13:35:37            4       638      2.56      1.37      0.95         0
13:35:38           17       638      2.56      1.37      0.95         0
13:35:39           11       638      2.56      1.37      0.95         0
13:35:40           12       638      2.60      1.39      0.97         0
13:35:41            9       638      2.60      1.39      0.97         0
13:35:42            4       638      2.60      1.39      0.97         0
13:35:43            2       638      2.60      1.39      0.97         0
13:35:44            6       638      2.60      1.39      0.97         0
13:35:45           12       638      2.55      1.40      0.97         0
13:35:46           12       638      2.55      1.40      0.97         0
13:35:47           10       638      2.55      1.40      0.97         0
13:35:48           11       638      2.55      1.40      0.97         0
13:35:49           17       638      2.55      1.40      0.97         0
13:35:50           18       638      3.07      1.53      1.02         0
13:35:51            2       638      3.07      1.53      1.02         0
13:35:52            2       638      3.07      1.53      1.02         0
13:35:53            6       638      3.07      1.53      1.02         0
13:35:54            1       638      3.07      1.53      1.02         0
13:35:55           13       638      3.06      1.55      1.03         0
13:35:56            9       638      3.06      1.55      1.03         0
13:35:57           11       638      3.06      1.55      1.03         0
13:35:58           14       638      3.06      1.55      1.03         0
13:35:59            4       638      3.06      1.55      1.03         0
13:36:00            4       638      3.94      1.76      1.10         0
13:36:01           10       638      3.94      1.76      1.10         0
13:36:02           11       638      3.94      1.76      1.10         0
13:36:03            9       638      3.94      1.76      1.10         0
13:36:04           12       638      3.94      1.76      1.10         0
13:36:05            1       638      4.90      2.00      1.18         0
13:36:06           13       638      4.90      2.00      1.18         0
13:36:07            2       638      4.90      2.00      1.18         0
13:36:08            2       638      4.90      2.00      1.18         0
13:36:09            8       638      4.90      2.00      1.18         0
13:36:10            2       638      4.67      2.00      1.18         0
13:36:11           15       638      4.67      2.00      1.18         0
13:36:12            5       637      4.67      2.00      1.18         0
13:36:13            4       637      4.67      2.00      1.18         0
13:36:14            4       635      4.67      2.00      1.18         0
Average:            7       639      2.32      1.36      0.96         0
