Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:46:22      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
12:46:23            0       578      2.63      2.75      1.67         0
12:46:24            0       575      2.63      2.75      1.67         0
12:46:25            0       575      2.63      2.75      1.67         0
12:46:26            0       589      2.63      2.75      1.67         1
12:46:27           17       648      2.63      2.75      1.67         0
12:46:28           21       648      4.10      3.05      1.77         0
12:46:29            9       648      4.10      3.05      1.77         0
12:46:30           14       648      4.10      3.05      1.77         0
12:46:31           15       648      4.10      3.05      1.77         0
12:46:32           11       648      4.10      3.05      1.77         0
12:46:33           16       648      5.13      3.28      1.86         0
12:46:34           14       648      5.13      3.28      1.86         0
12:46:35           12       648      5.13      3.28      1.86         0
12:46:36           14       648      5.13      3.28      1.86         0
12:46:37           15       648      5.13      3.28      1.86         0
12:46:38           20       648      6.08      3.51      1.94         0
12:46:39           20       648      6.08      3.51      1.94         0
12:46:40           16       648      6.08      3.51      1.94         0
12:46:41            7       648      6.08      3.51      1.94         0
12:46:42           22       648      6.08      3.51      1.94         0
12:46:43           11       648      6.48      3.64      1.99         0
12:46:44           10       648      6.48      3.64      1.99         0
12:46:45            9       648      6.48      3.64      1.99         0
12:46:46            7       647      6.48      3.64      1.99         0
12:46:47            9       647      6.48      3.64      1.99         0
12:46:48           13       645      6.76      3.74      2.03         0
Average:           12       637      4.96      3.27      1.85         0
