Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:44:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:44:20        all      0.06      0.00      0.02      0.00      0.00     99.92
12:44:21        all      0.04      0.00      0.00      0.00      0.00     99.96
12:44:22        all      0.00      0.00      0.00      0.00      0.00    100.00
12:44:23        all      0.00      0.00      0.00      0.00      0.00    100.00
12:44:24        all      0.42      0.00      3.23      0.11      0.00     96.24
12:44:25        all      2.94      0.00     19.37      0.00      0.00     77.69
12:44:26        all      2.70      0.00     18.36      0.00      0.00     78.94
12:44:27        all      2.60      0.00     16.87      0.00      0.00     80.53
12:44:28        all      2.41      0.00     19.38      0.00      0.00     78.21
12:44:29        all      2.55      0.00     20.27      0.02      0.00     77.15
12:44:30        all      2.90      0.00     17.85      0.00      0.00     79.25
12:44:31        all      3.00      0.00     19.25      0.00      0.00     77.75
12:44:32        all      2.78      0.00     19.18      0.00      0.00     78.04
12:44:33        all      3.07      0.00     20.04      0.00      0.00     76.89
12:44:34        all      3.08      0.00     19.06      0.00      0.00     77.85
12:44:35        all      2.70      0.00     19.54      0.00      0.00     77.75
12:44:36        all      2.49      0.00     18.19      0.00      0.00     79.32
12:44:37        all      2.69      0.00     18.87      0.00      0.00     78.44
12:44:38        all      2.98      0.00     19.04      0.00      0.00     77.98
12:44:39        all      2.89      0.00     19.15      0.00      0.00     77.96
12:44:40        all      3.09      0.00     18.85      0.00      0.00     78.05
12:44:41        all      2.74      0.00     18.25      0.00      0.00     79.02
12:44:42        all      2.54      0.00     19.11      0.00      0.00     78.34
12:44:43        all      2.51      0.00     20.04      0.00      0.00     77.46
12:44:44        all      2.59      0.00     18.40      0.00      0.00     79.01
12:44:45        all      2.60      0.00     19.38      0.00      0.00     78.02
Average:        all      2.22      0.00     15.26      0.01      0.00     82.52
