Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

12:44:15        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:44:16        all      0.08      0.00      0.00      0.00      0.00     99.92
12:44:17        all      0.08      0.00      0.00      0.00      0.00     99.92
12:44:18        all      0.02      0.00      0.00      0.00      0.00     99.98
12:44:19        all      0.00      0.00      0.00      0.00      0.00    100.00
12:44:20        all      0.00      0.00      0.00      0.00      0.00    100.00
12:44:21        all      0.00      0.00      0.00      0.02      0.00     99.98
12:44:22        all      0.00      0.00      0.00      0.00      0.00    100.00
12:44:23        all      0.00      0.00      0.00      0.00      0.00    100.00
12:44:24        all      3.94      0.00      2.38      0.00      0.00     93.68
12:44:25        all     25.45      0.00     13.69      0.00      0.00     60.86
12:44:26        all     26.34      0.00     14.43      0.00      0.00     59.23
12:44:27        all     25.98      0.00     13.95      0.00      0.00     60.07
12:44:28        all     25.99      0.00     13.15      0.00      0.00     60.86
12:44:29        all     26.15      0.00     13.22      0.00      0.00     60.63
12:44:30        all     25.55      0.00     14.26      0.00      0.00     60.20
12:44:31        all     24.83      0.00     14.62      0.00      0.00     60.55
12:44:32        all     25.88      0.00     13.51      0.00      0.00     60.61
12:44:33        all     25.16      0.00     13.88      0.00      0.00     60.96
12:44:34        all     25.77      0.00     13.21      0.00      0.00     61.02
12:44:35        all     25.58      0.00     13.68      0.00      0.00     60.74
12:44:36        all     26.07      0.00     13.80      0.00      0.00     60.12
12:44:37        all     25.68      0.00     13.58      0.00      0.00     60.74
12:44:38        all     26.43      0.00     12.93      0.00      0.00     60.64
12:44:39        all     26.21      0.00     13.18      0.00      0.00     60.60
12:44:40        all     26.43      0.00     13.13      0.00      0.00     60.44
12:44:41        all     26.27      0.00     13.43      0.00      0.00     60.31
Average:        all     16.87      0.00      8.89      0.00      0.00     74.24
