Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:50:27      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
12:50:28            0       577      1.32      2.58      1.92         0
12:50:29            0       575      1.32      2.58      1.92         0
12:50:30            0       575      1.32      2.58      1.92         0
12:50:31            0       577      1.32      2.58      1.92         0
12:50:32           16       650      1.32      2.58      1.92         0
12:50:33            2       650      1.22      2.53      1.91         0
12:50:34           17       650      1.22      2.53      1.91         0
12:50:35            1       650      1.22      2.53      1.91         0
12:50:36            8       650      1.22      2.53      1.91         0
12:50:37           14       650      1.22      2.53      1.91         0
12:50:38           17       650      2.00      2.67      1.96         0
12:50:39           11       650      2.00      2.67      1.96         0
12:50:40           14       650      2.00      2.67      1.96         0
12:50:41            5       650      2.00      2.67      1.96         0
12:50:42            7       650      2.00      2.67      1.96         0
12:50:43           14       650      1.92      2.65      1.95         0
12:50:44            1       650      1.92      2.65      1.95         0
12:50:45            7       650      1.92      2.65      1.95         0
12:50:46           13       650      1.92      2.65      1.95         0
12:50:47           12       650      1.92      2.65      1.95         0
12:50:48            4       650      2.81      2.82      2.01         0
12:50:49            3       650      2.81      2.82      2.01         0
12:50:50           16       649      2.81      2.82      2.01         0
12:50:51            1       648      2.81      2.82      2.01         0
12:50:52            0       648      2.81      2.82      2.01         0
12:50:53            6       646      3.38      2.94      2.05         0
Average:            7       638      1.91      2.66      1.95         0
