Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

12:50:23      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
12:50:24            0       640      3.04      4.77      3.20         0
12:50:25            0       640      3.04      4.77      3.20         0
12:50:26            0       639      3.04      4.77      3.20         0
12:50:27            0       638      2.80      4.69      3.19         0
12:50:28            0       638      2.80      4.69      3.19         0
12:50:29            0       638      2.80      4.69      3.19         0
12:50:30            0       638      2.80      4.69      3.19         0
12:50:31            0       638      2.80      4.69      3.19         0
12:50:32           11       638      3.30      4.76      3.22         0
12:50:33           11       638      3.30      4.76      3.22         0
12:50:34            5       638      3.30      4.76      3.22         0
12:50:35            9       638      3.30      4.76      3.22         0
12:50:36            8       638      3.30      4.76      3.22         0
12:50:37           14       638      3.35      4.75      3.22         0
12:50:38           16       638      3.35      4.75      3.22         0
12:50:39            2       638      3.35      4.75      3.22         0
12:50:40           10       638      3.35      4.75      3.22         0
12:50:41           17       638      3.35      4.75      3.22         0
12:50:42           17       638      3.64      4.78      3.24         0
12:50:43            7       638      3.64      4.78      3.24         0
12:50:44           18       638      3.64      4.78      3.24         0
12:50:45            8       638      3.64      4.78      3.24         0
12:50:46            1       638      3.64      4.78      3.24         0
12:50:47           13       637      3.43      4.72      3.23         0
12:50:48           13       638      3.43      4.72      3.23         0
12:50:49           18       636      3.43      4.72      3.23         0
Average:            8       638      3.26      4.75      3.22         0
