procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95841476  23728 728864    0    0     7   284 47877    2  1  1 99  0  0  0
 0  0      0 95839492  23728 728876    0    0     0    16  719  475  0  0 100  0  0  0
 0  0      0 95838988  23728 728880    0    0     0     0  644  461  0  0 100  0  0  0
 0  0      0 95838004  23728 728888    0    0     0     0  771  442  0  0 100  0  0  0
 0  0      0 95837284  23728 728972    0    0     0     0  407  269  0  0 100  0  0  0
 0  0      0 95837284  23728 728972    0    0     0     0  122  129  0  0 100  0  0  0
 0  0      0 95837284  23728 729008    0    0     0    10  113  137  0  0 100  0  0  0
 0  0      0 95837284  23728 729028    0    0     0     0  208  224  0  0 100  0  0  0
 0  0      0 95837284  23728 729028    0    0     0     0  125  158  0  0 100  0  0  0
 0  0      0 95837032  23728 729064    0    0     0     0  123  157  0  0 100  0  0  0
 9  0      0 95834304  23728 729088    0    0     0     0 383509 106179  3  5 92  0  0  0
10  0      0 95829356  23728 729120    0    0     0     5 1137348 291884 10 12 79  0  0  0
 5  0      0 95828500  23728 729140    0    0     0     0 1136386 293097 10 13 77  0  0  0
 8  0      0 95826820  23728 729140    0    0     0     0 1134973 288799 11 13 76  0  0  0
10  0      0 95823704  23728 729184    0    0     0     0 1134367 289633 10 12 78  0  0  0
 9  0      0 95822120  23728 729204    0    0     0     0 1131851 289932  9 12 79  0  0  0
21  0      0 95819744  23732 729224    0    0     0     8 1133432 288586 10 12 79  0  0  0
 4  0      0 95818352  23732 729244    0    0     0     0 1131924 292776 11 12 77  0  0  0
 7  0      0 95818716  23732 729244    0    0     0     0 1135935 291315 10 12 78  0  0  0
10  0      0 95816340  23732 729280    0    0     0     0 1136404 295764 10 12 78  0  0  0
10  0      0 95815628  23732 729300    0    0     0     0 1136686 291424  9 11 79  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
19  1      0 95815024  23732 729300    0    0     0     4 1138197 287775  9 12 79  0  0  0
 6  0      0 95813460  23732 729336    0    0     0     1 1139919 291154  9 12 79  0  0  0
 8  0      0 95815200  23732 729340    0    0     0     0 1139859 289526 10 12 78  0  0  0
11  0      0 95813760  23732 729380    0    0     0     0 1141362 285677 10 11 79  0  0  0
 6  0      0 95811660  23732 729404    0    0     0     0 1141744 287748 10 11 79  0  0  0
