procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95892036  23796 790488    0    0     7   294 63574   13  0  1 99  0  0  0
 0  0      0 95890804  23796 790496    0    0     0     0  657  351  0  0 100  0  0  0
 0  0      0 95890300  23796 790500    0    0     0     0  675  458  0  0 100  0  0  0
 0  0      0 95890552  23796 790512    0    0     0     0  582  322  0  0 100  0  0  0
 0  0      0 95890552  23796 790512    0    0     0     0  329  139  0  0 100  0  0  0
 0  0      0 95890552  23796 790512    0    0     0     0  221  156  0  0 100  0  0  0
 3  0      0 95850460  23812 790724    0    0     0   598 585545 611674  1  6 93  0  0  0
 9  0      0 95850720  23812 790724    0    0     0     0 1443312 1530282  2 13 84  0  0  0
 6  0      0 95850556  23812 790724    0    0     0     0 1433421 1522039  3 13 85  0  0  0
 7  0      0 95850596  23812 790724    0    0     0     0 1419140 1511794  2 13 85  0  0  0
 8  0      0 95850684  23812 790728    0    0     0     0 1418725 1525095  2 13 84  0  0  0
 7  0      0 95850768  23812 790728    0    0     0    15 1402621 1496496  3 13 84  0  0  0
 8  0      0 95850756  23812 790728    0    0     0     0 1430281 1525641  3 15 83  0  0  0
 9  0      0 95850372  23812 790732    0    0     0     0 1433212 1532966  2 14 84  0  0  0
 4  0      0 95850196  23812 790732    0    0     0     0 1470973 1579624  3 13 85  0  0  0
 5  0      0 95850176  23812 790732    0    0     0     0 1485915 1595601  3 15 83  0  0  0
 5  0      0 95850524  23812 790736    0    0     0     5 1476621 1581053  3 15 81  0  0  0
 9  0      0 95850612  23812 790736    0    0     0     0 1485006 1586841  3 13 84  0  0  0
 9  0      0 95850424  23812 790736    0    0     0     0 1465606 1568365  2 15 83  0  0  0
 9  0      0 95850660  23812 790736    0    0     0     0 1444139 1542975  3 14 83  0  0  0
11  0      0 95850480  23812 790736    0    0     0     0 1448026 1559935  3 15 81  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 95850504  23812 790736    0    0     0     6 1453091 1560073  3 15 82  0  0  0
 8  0      0 95850616  23812 790736    0    0     0     0 1453742 1566774  3 14 83  0  0  0
 8  0      0 95850468  23812 790740    0    0     0     0 1435942 1535122  3 14 83  0  0  0
 4  0      0 95849968  23812 790740    0    0     0     0 1424732 1533592  3 15 82  0  0  0
 8  0      0 95850012  23812 790744    0    0     0     0 1422421 1535538  4 16 81  0  0  0
