Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:38:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:38:18        all      0.06      0.00      0.04      0.00      0.00     99.90
12:38:19        all      0.02      0.00      0.04      0.00      0.00     99.94
12:38:20        all      0.00      0.00      0.00      0.00      0.00    100.00
12:38:21        all      0.00      0.00      0.00      0.00      0.00    100.00
12:38:22        all      0.67      0.00      2.39      0.10      0.00     96.84
12:38:23        all      3.21      0.00     18.05      0.00      0.00     78.74
12:38:24        all      3.23      0.00     18.80      0.00      0.00     77.97
12:38:25        all      3.63      0.00     17.50      0.00      0.00     78.86
12:38:26        all      3.18      0.00     16.53      0.00      0.00     80.29
12:38:27        all      3.71      0.00     17.31      0.02      0.00     78.95
12:38:28        all      3.13      0.00     16.02      0.00      0.00     80.85
12:38:29        all      2.99      0.00     17.15      0.00      0.00     79.85
12:38:30        all      3.50      0.00     17.92      0.00      0.00     78.58
12:38:31        all      3.40      0.00     17.28      0.00      0.00     79.32
12:38:32        all      3.51      0.00     18.34      0.00      0.00     78.14
12:38:33        all      3.68      0.00     17.74      0.00      0.00     78.58
12:38:34        all      3.43      0.00     18.15      0.00      0.00     78.43
12:38:35        all      3.96      0.00     15.48      0.00      0.00     80.56
12:38:36        all      3.68      0.00     19.45      0.00      0.00     76.87
12:38:37        all      3.24      0.00     18.53      0.00      0.00     78.23
12:38:38        all      3.38      0.00     18.01      0.00      0.00     78.61
12:38:39        all      3.54      0.00     17.68      0.00      0.00     78.78
12:38:40        all      3.13      0.00     16.57      0.00      0.00     80.31
12:38:41        all      3.23      0.00     16.44      0.00      0.00     80.33
12:38:42        all      3.43      0.00     18.20      0.00      0.00     78.37
12:38:43        all      3.18      0.00     15.72      0.00      0.00     81.10
Average:        all      2.74      0.00     14.05      0.01      0.00     83.20
