procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95910664  23364 789388    0    0     8   315 26066    5  0  0 100  0  0  0
 0  0      0 95909668  23364 789396    0    0     0     0  749  421  0  0 100  0  0  0
 0  0      0 95909192  23364 789400    0    0     0     0  579  374  0  0 100  0  0  0
 0  0      0 95909192  23364 789408    0    0     0     0  584  307  0  0 100  0  0  0
 0  0      0 95909192  23364 789408    0    0     0     0  122  134  0  0 100  0  0  0
 0  0      0 95908940  23364 789408    0    0     0    35  335  274  0  0 100  0  0  0
 0  0      0 95856680  23392 789696    0    0     0   576 730735 712227  2  8 90  0  0  0
14  0      0 95854848  23392 789696    0    0     0     0 1690701 1677624  3 17 79  0  0  0
11  0      0 95852012  23392 789696    0    0     0     0 1682847 1673827  3 18 78  0  0  0
 7  0      0 95850288  23392 789700    0    0     0     0 1671259 1659485  4 18 79  0  0  0
 2  0      0 95849716  23392 789700    0    0     0     0 1686940 1676703  3 17 80  0  0  0
 9  0      0 95846552  23392 789700    0    0     0    48 1716232 1711082  3 17 80  0  0  0
12  0      0 95846016  23392 789704    0    0     0     0 1718551 1715470  3 16 81  0  0  0
16  0      0 95844388  23392 789704    0    0     0     0 1676822 1664420  3 18 79  0  0  0
 6  0      0 95842768  23392 789704    0    0     0     0 1695244 1686721  3 17 79  0  0  0
 5  0      0 95841572  23392 789708    0    0     0     0 1685087 1671767  4 18 79  0  0  0
 1  0      0 95840588  23392 789708    0    0     0    24 1676589 1658965  4 18 78  0  0  0
 0  0      0 95839492  23392 789708    0    0     0     0 1660774 1647661  4 19 78  0  0  0
12  0      0 95840292  23392 789708    0    0     0     0 1699990 1688327  3 16 80  0  0  0
 0  0      0 95841188  23392 789708    0    0     0     0 1718638 1711758  4 17 79  0  0  0
 7  0      0 95840552  23392 789708    0    0     0     0 1684254 1672583  4 19 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 95839572  23396 789704    0    0     0     6 1669553 1657481  3 19 78  0  0  0
 5  0      0 95840004  23396 789712    0    0     0    13 1701944 1691099  3 17 80  0  0  0
16  0      0 95840276  23396 789712    0    0     0     0 1709301 1708377  4 18 79  0  0  0
19  0      0 95838956  23396 789716    0    0     0     0 1714733 1702929  3 17 80  0  0  0
25  0      0 95837176  23396 789716    0    0     0     0 1699985 1691655  4 17 79  0  0  0
