Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

12:38:14      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
12:38:15            0       641      1.94      1.55      0.77         0
12:38:16            0       642      1.78      1.52      0.77         0
12:38:17            0       640      1.78      1.52      0.77         0
12:38:18            0       640      1.78      1.52      0.77         0
12:38:19            0       640      1.78      1.52      0.77         0
12:38:20            0       640      1.78      1.52      0.77         0
12:38:21            0       640      1.64      1.50      0.76         0
12:38:22            0       640      1.64      1.50      0.76         0
12:38:23           10       640      1.64      1.50      0.76         0
12:38:24            8       640      1.64      1.50      0.76         0
12:38:25           11       640      1.64      1.50      0.76         0
12:38:26           16       640      2.47      1.67      0.82         0
12:38:27           14       640      2.47      1.67      0.82         0
12:38:28           12       640      2.47      1.67      0.82         0
12:38:29           19       640      2.47      1.67      0.82         0
12:38:30            2       640      2.47      1.67      0.82         0
12:38:31           11       640      3.07      1.81      0.87         0
12:38:32            4       640      3.07      1.81      0.87         0
12:38:33           11       640      3.07      1.81      0.87         0
12:38:34            7       640      3.07      1.81      0.87         0
12:38:35           16       640      3.07      1.81      0.87         0
12:38:36            8       640      3.55      1.93      0.92         0
12:38:37            2       640      3.55      1.93      0.92         0
12:38:38           15       639      3.55      1.93      0.92         0
12:38:39           10       641      3.55      1.93      0.92         0
12:38:40            6       639      3.55      1.93      0.92         0
Average:            7       640      2.48      1.68      0.83         0
