Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

12:36:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:36:14        all      0.06      0.00      0.00      0.00      0.00     99.94
12:36:15        all      0.04      0.00      0.02      0.00      0.00     99.94
12:36:16        all      0.02      0.00      0.02      0.00      0.00     99.96
12:36:17        all      0.00      0.00      0.00      0.00      0.00    100.00
12:36:18        all      0.00      0.00      0.00      0.00      0.00    100.00
12:36:19        all      0.00      0.00      0.00      0.00      0.00    100.00
12:36:20        all      0.00      0.00      0.00      0.00      0.00    100.00
12:36:21        all      0.00      0.00      0.00      0.00      0.00    100.00
12:36:22        all      0.98      0.00      0.98      0.00      0.00     98.04
12:36:23        all      5.86      0.00      7.98      0.00      0.00     86.16
12:36:24        all      6.23      0.00      8.80      0.00      0.00     84.96
12:36:25        all      6.44      0.00      8.37      0.00      0.00     85.19
12:36:26        all      6.35      0.00      8.35      0.00      0.00     85.29
12:36:27        all      6.22      0.00      8.30      0.00      0.00     85.48
12:36:28        all      6.97      0.00      7.53      0.00      0.00     85.50
12:36:29        all      6.47      0.00      8.57      0.00      0.00     84.95
12:36:30        all      6.43      0.00      8.87      0.00      0.00     84.70
12:36:31        all      6.44      0.00      7.78      0.00      0.00     85.77
12:36:32        all      6.58      0.00      8.13      0.00      0.00     85.30
12:36:33        all      6.02      0.00      8.92      0.00      0.00     85.05
12:36:34        all      6.01      0.00      9.20      0.02      0.00     84.77
12:36:35        all      6.44      0.00      8.16      0.00      0.00     85.39
12:36:36        all      6.32      0.00      8.41      0.00      0.00     85.27
12:36:37        all      7.18      0.00      7.69      0.00      0.00     85.13
12:36:38        all      6.57      0.00      8.44      0.00      0.00     84.98
12:36:39        all      6.18      0.00      8.40      0.00      0.00     85.42
Average:        all      4.18      0.00      5.44      0.00      0.00     90.38
