procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95857412  22744 725100    0    0     8   312 11818    0  0  0 100  0  0  0
 0  0      0 95856456  22744 725112    0    0     0    18  764  450  0  0 100  0  0  0
 0  0      0 95855700  22744 725120    0    0     0     0  649  451  0  0 100  0  0  0
 0  0      0 95854972  22744 725124    0    0     0     0  770  487  0  0 100  0  0  0
 0  0      0 95854500  22744 725256    0    0     0     0  457  336  0  0 100  0  0  0
 0  0      0 95854500  22744 725272    0    0     0     0  109  132  0  0 100  0  0  0
 0  0      0 95854248  22748 725292    0    0     0    11  120  126  0  0 100  0  0  0
 0  0      0 95854504  22748 725312    0    0     0     0  324  175  0  0 100  0  0  0
 0  0      0 95854504  22748 725328    0    0     0     0  217  240  0  0 100  0  0  0
 0  0      0 95854504  22748 725352    0    0     0     0  106  122  0  0 100  0  0  0
 3  0      0 95854224  22748 725436    0    0     0     0 406777 142914  3  4 94  0  0  0
 7  0      0 95853220  22748 725452    0    0     0     6 933683 324215  6  8 86  0  0  0
 6  0      0 95851736  22748 725472    0    0     0     0 942330 325798  7  8 85  0  0  0
 5  0      0 95849964  22748 725496    0    0     0     0 934185 324149  6  9 85  0  0  0
 3  0      0 95849460  22748 725520    0    0     0     0 942458 324822  6  8 85  0  0  0
 9  0      0 95849464  22748 725540    0    0     0     0 933299 323336  6  8 86  0  0  0
 8  0      0 95851596  22748 725564    0    0     0     0 942833 327321  7  8 86  0  0  0
 4  0      0 95851092  22752 725584    0    0     0     6 953189 331226  7  9 85  0  0  0
 7  0      0 95850836  22752 725604    0    0     0     0 937987 321907  6  9 85  0  0  0
 7  0      0 95850356  22752 725624    0    0     0     0 944329 323243  7  8 85  0  0  0
 8  0      0 95850356  22752 725648    0    0     0     0 956508 326425  6  8 86  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 95850108  22752 725668    0    0     0     0 956367 327460  6  9 85  0  0  0
 6  0      0 95850112  22756 725692    0    0     0     6 957566 327576  6  9 85  0  0  0
 3  0      0 95850112  22756 725712    0    0     0     0 944962 325379  6  8 85  0  0  0
 6  0      0 95850112  22756 725736    0    0     0     0 940049 321642  6  8 85  0  0  0
 7  0      0 95850112  22756 725756    0    0     0     0 939807 322949  7  8 85  0  0  0
