Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:47:23      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
12:47:24            0       575      3.77      3.33      1.95         0
12:47:25            0       573      3.77      3.33      1.95         0
12:47:26            0       573      3.77      3.33      1.95         0
12:47:27            0       575      3.47      3.27      1.94         0
12:47:28            9       646      3.47      3.27      1.94         0
12:47:29            9       646      3.47      3.27      1.94         0
12:47:30            5       646      3.47      3.27      1.94         0
12:47:31            7       646      3.47      3.27      1.94         0
12:47:32            4       646      3.67      3.32      1.96         0
12:47:33            8       646      3.67      3.32      1.96         0
12:47:34           12       646      3.67      3.32      1.96         0
12:47:35            9       646      3.67      3.32      1.96         0
12:47:36           13       646      3.67      3.32      1.96         0
12:47:37            8       646      3.61      3.31      1.97         0
12:47:38            8       646      3.61      3.31      1.97         0
12:47:39            5       646      3.61      3.31      1.97         0
12:47:40            4       645      3.61      3.31      1.97         0
12:47:41            6       645      3.61      3.31      1.97         0
12:47:42            4       645      3.41      3.27      1.96         0
12:47:43            6       645      3.41      3.27      1.96         0
12:47:44            6       645      3.41      3.27      1.96         0
12:47:45            3       645      3.41      3.27      1.96         0
12:47:46            2       645      3.41      3.27      1.96         0
12:47:47            7       644      3.45      3.29      1.98         0
12:47:48            8       644      3.45      3.29      1.98         0
12:47:49            5       642      3.45      3.29      1.98         0
Average:            6       634      3.56      3.30      1.96         0
