Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:47:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:47:23        all      0.10      0.00      0.02      0.00      0.00     99.88
12:47:24        all      0.08      0.00      0.00      0.00      0.00     99.92
12:47:25        all      0.00      0.00      0.00      0.00      0.00    100.00
12:47:26        all      0.00      0.00      0.00      0.00      0.00    100.00
12:47:27        all      0.50      0.00      3.14      0.13      0.00     96.24
12:47:28        all      2.65      0.00     14.34      0.00      0.00     83.01
12:47:29        all      2.88      0.00     14.61      0.00      0.00     82.52
12:47:30        all      2.71      0.00     13.65      0.00      0.00     83.64
12:47:31        all      2.82      0.00     14.62      0.00      0.00     82.56
12:47:32        all      3.01      0.00     13.75      0.00      0.00     83.25
12:47:33        all      3.21      0.00     13.97      0.00      0.00     82.82
12:47:34        all      3.59      0.00     15.01      0.00      0.00     81.40
12:47:35        all      2.73      0.00     12.68      0.00      0.00     84.58
12:47:36        all      2.45      0.00     13.29      0.00      0.00     84.26
12:47:37        all      2.58      0.00     12.38      0.00      0.00     85.03
12:47:38        all      2.68      0.00     13.80      0.02      0.00     83.50
12:47:39        all      2.44      0.00     13.33      0.00      0.00     84.24
12:47:40        all      2.93      0.00     13.41      0.00      0.00     83.66
12:47:41        all      2.92      0.00     13.41      0.00      0.00     83.67
12:47:42        all      2.30      0.00     13.71      0.00      0.00     84.00
12:47:43        all      2.91      0.00     13.49      0.00      0.00     83.60
12:47:44        all      2.33      0.00     13.32      0.00      0.00     84.36
12:47:45        all      2.66      0.00     13.29      0.00      0.00     84.05
12:47:46        all      3.13      0.00     13.03      0.00      0.00     83.84
12:47:47        all      2.74      0.00     13.14      0.00      0.00     84.12
12:47:48        all      2.61      0.00     11.92      0.00      0.00     85.47
Average:        all      2.24      0.00     10.93      0.01      0.00     86.82
