Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

12:47:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:47:19        all      0.06      0.00      0.00      0.00      0.00     99.94
12:47:20        all      0.02      0.00      0.00      0.00      0.00     99.98
12:47:21        all      0.08      0.00      0.02      0.00      0.00     99.90
12:47:22        all      0.00      0.00      0.00      0.00      0.00    100.00
12:47:23        all      0.00      0.00      0.00      0.00      0.00    100.00
12:47:24        all      0.00      0.00      0.00      0.00      0.00    100.00
12:47:25        all      0.00      0.00      0.00      0.00      0.00    100.00
12:47:26        all      0.00      0.00      0.00      0.00      0.00    100.00
12:47:27        all      0.19      0.00      0.29      0.00      0.00     99.52
12:47:28        all      6.81      0.00      9.16      0.00      0.00     84.03
12:47:29        all      6.76      0.00      8.62      0.00      0.00     84.61
12:47:30        all      6.49      0.00      8.23      0.00      0.00     85.28
12:47:31        all      6.66      0.00      8.20      0.00      0.00     85.14
12:47:32        all      6.28      0.00      8.60      0.00      0.00     85.11
12:47:33        all      6.39      0.00      8.90      0.00      0.00     84.70
12:47:34        all      6.34      0.00      9.07      0.00      0.00     84.59
12:47:35        all      7.42      0.00      8.65      0.00      0.00     83.92
12:47:36        all      6.48      0.00      9.60      0.00      0.00     83.92
12:47:37        all      6.72      0.00      9.24      0.00      0.00     84.04
12:47:38        all      6.89      0.00      8.88      0.00      0.00     84.22
12:47:39        all      6.52      0.00      8.73      0.02      0.00     84.73
12:47:40        all      6.13      0.00      8.68      0.00      0.00     85.19
12:47:41        all      7.03      0.00      8.97      0.00      0.00     83.99
12:47:42        all      7.03      0.00      8.97      0.00      0.00     84.00
12:47:43        all      7.34      0.00      8.70      0.00      0.00     83.96
12:47:44        all      6.91      0.00      9.24      0.00      0.00     83.85
Average:        all      4.37      0.00      5.75      0.00      0.00     89.88
