Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

12:37:17        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:37:18        all      0.08      0.00      0.02      0.00      0.00     99.90
12:37:19        all      0.04      0.00      0.02      0.00      0.00     99.94
12:37:20        all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:21        all      0.00      0.00      0.00      0.00      0.00    100.00
12:37:22        all      0.50      0.00      2.54      0.13      0.00     96.83
12:37:23        all      3.54      0.00     21.66      0.00      0.00     74.80
12:37:24        all      3.93      0.00     21.03      0.00      0.00     75.04
12:37:25        all      3.90      0.00     19.98      0.00      0.00     76.11
12:37:26        all      3.96      0.00     19.15      0.00      0.00     76.88
12:37:27        all      3.63      0.00     19.50      0.00      0.00     76.87
12:37:28        all      3.72      0.00     19.76      0.00      0.00     76.52
12:37:29        all      3.65      0.00     19.20      0.00      0.00     77.15
12:37:30        all      3.98      0.00     20.81      0.00      0.00     75.22
12:37:31        all      3.21      0.00     16.01      0.00      0.00     80.78
12:37:32        all      4.45      0.00     20.68      0.00      0.00     74.87
12:37:33        all      3.42      0.00     19.49      0.00      0.00     77.10
12:37:34        all      3.27      0.00     17.80      0.00      0.00     78.93
12:37:35        all      3.77      0.00     19.73      0.00      0.00     76.50
12:37:36        all      4.08      0.00     22.01      0.00      0.00     73.92
12:37:37        all      3.67      0.00     20.27      0.00      0.00     76.06
12:37:38        all      3.80      0.00     18.15      0.00      0.00     78.05
12:37:39        all      4.46      0.00     19.81      0.00      0.00     75.73
12:37:40        all      3.63      0.00     18.67      0.00      0.00     77.70
12:37:41        all      3.70      0.00     18.36      0.00      0.00     77.93
12:37:42        all      4.46      0.00     20.13      0.00      0.00     75.42
12:37:43        all      3.76      0.00     18.76      0.02      0.00     77.46
Average:        all      3.07      0.00     15.75      0.01      0.00     81.18
