Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

12:37:13        CPU     %user     %nice   %system   %iowait    %steal     %idle
12:37:14        all      0.08      0.00      0.00      0.00      0.00     99.92
12:37:15        all      0.04      0.00      0.00      0.00      0.00     99.96
12:37:16        all      0.04      0.00      0.00      0.00      0.00     99.96
12:37:17        all      0.00      0.00      0.02      0.00      0.00     99.98
12:37:18        all      0.00      0.00      0.02      0.00      0.00     99.98
12:37:19        all      0.02      0.00      0.00      0.00      0.00     99.98
12:37:20        all      0.02      0.00      0.00      0.00      0.00     99.98
12:37:21        all      0.00      0.00      0.02      0.00      0.00     99.98
12:37:22        all      1.91      0.00      3.21      0.00      0.00     94.88
12:37:23        all      7.14      0.00     11.43      0.00      0.00     81.44
12:37:24        all      7.54      0.00     12.86      0.00      0.00     79.59
12:37:25        all      6.52      0.00     11.71      0.00      0.00     81.77
12:37:26        all      6.89      0.00     11.07      0.00      0.00     82.03
12:37:27        all      7.42      0.00     11.01      0.00      0.00     81.56
12:37:28        all      8.07      0.00     12.18      0.00      0.00     79.76
12:37:29        all      7.64      0.00     11.64      0.00      0.00     80.72
12:37:30        all      7.24      0.00     11.86      0.00      0.00     80.90
12:37:31        all      7.78      0.00     11.03      0.00      0.00     81.19
12:37:32        all      6.74      0.00     12.47      0.00      0.00     80.80
12:37:33        all      8.25      0.00     12.05      0.00      0.00     79.70
12:37:34        all      6.92      0.00     11.73      0.00      0.00     81.35
12:37:35        all      8.14      0.00     11.56      0.00      0.00     80.29
12:37:36        all      7.30      0.00     12.26      0.00      0.00     80.44
12:37:37        all      7.27      0.00     11.74      0.00      0.00     80.99
12:37:38        all      8.05      0.00     12.04      0.00      0.00     79.91
12:37:39        all      7.82      0.00     10.52      0.00      0.00     81.67
Average:        all      4.90      0.00      7.70      0.00      0.00     87.39
