procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95904360  23220 788792    0    0     8   322 14031    3  0  0 100  0  0  0
 0  0      0 95903644  23220 788808    0    0     0     0  670  336  0  0 100  0  0  0
 0  0      0 95903392  23220 788812    0    0     0     0  785  509  0  0 100  0  0  0
 0  0      0 95902412  23220 788820    0    0     0     0  605  320  0  0 100  0  0  0
 0  0      0 95902916  23220 788820    0    0     0     0  170  194  0  0 100  0  0  0
 0  0      0 95902924  23220 788820    0    0     0    24  238  182  0  0 100  0  0  0
 6  0      0 95859344  23244 788940    0    0     0   559 664959 714586  1  8 90  0  0  0
 3  0      0 95854384  23244 789072    0    0     0     0 1380060 1469605  3 14 83  0  0  0
 9  0      0 95854288  23244 789072    0    0     0     0 1369483 1463926  3 16 81  0  0  0
 3  0      0 95854104  23244 789072    0    0     0     0 1408850 1498898  3 14 83  0  0  0
 6  0      0 95854044  23244 789076    0    0     0     0 1407919 1501705  3 15 81  0  0  0
 6  0      0 95853844  23244 789076    0    0     0    51 1403884 1488235  3 14 83  0  0  0
 7  0      0 95851636  23244 789076    0    0     0     0 1408638 1504687  3 13 84  0  0  0
 9  0      0 95851504  23244 789080    0    0     0     0 1412503 1497128  3 14 83  0  0  0
 8  0      0 95851368  23244 789080    0    0     0     0 1434674 1519555  3 13 84  0  0  0
 8  0      0 95851300  23244 789080    0    0     0     0 1450246 1536169  2 13 84  0  0  0
 6  0      0 95851116  23244 789084    0    0     0    29 1435075 1524871  2 14 84  0  0  0
 8  0      0 95851044  23244 789084    0    0     0     0 1417126 1518833  2 13 84  0  0  0
15  0      0 95850804  23244 789084    0    0     0     0 1426465 1523826  3 14 83  0  0  0
11  0      0 95850676  23244 789084    0    0     0     0 1428718 1528007  3 13 84  0  0  0
 6  0      0 95850552  23244 789084    0    0     0     0 1438408 1527548  3 13 84  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
14  0      0 95850504  23244 789084    0    0     0     6 1427390 1523983  3 15 82  0  0  0
 9  0      0 95850276  23244 789084    0    0     0    11 1434113 1533442  3 13 84  0  0  0
 7  0      0 95850212  23244 789092    0    0     0     0 1423959 1518310  3 13 84  0  0  0
 3  0      0 95850032  23244 789092    0    0     0     0 1418611 1515938  3 14 82  0  0  0
12  0      0 95849912  23244 789092    0    0     0     0 1417054 1520505  3 14 83  0  0  0
