procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 94975916  25036 1561300    0    0     4   403 46501    2  1  1 99  0  0  0
 0  0      0 94976380  25036 1561308    0    0     0    47  754  451  0  0 100  0  0  0
 0  0      0 94979528  25036 1561312    0    0     0     0  711  490  0  0 100  0  0  0
 0  0      0 94980564  25036 1561324    0    0     0     0  696  447  0  0 100  0  0  0
 0  0      0 94989812  25036 1561328    0    0     0     0  453  392  0  0 100  0  0  0
 0  0      0 94989812  25036 1561344    0    0     0     0  110  125  0  0 100  0  0  0
 0  0      0 94989812  25036 1561364    0    0     0    74  221  240  0  0 100  0  0  0
 0  0      0 94989812  25036 1561384    0    0     0     0  117  129  0  0 100  0  0  0
 0  0      0 94989812  25036 1561400    0    0     0     0  123  147  0  0 100  0  0  0
 0  0      0 94989336  25036 1561420    0    0     0     0  254  180  0  0 100  0  0  0
 0  0      0 94897920  25036 1562112    0    0     0     0 5491  507  0  0 100  0  0  0
34  0      0 94893416  25036 1562200    0    0     0   236 1170734 238869 36 21 42  0  0  0
30  0      0 94883912  25036 1562220    0    0     0     0 1254324 257108 40 24 36  0  0  0
 9  0      0 94861544  25036 1585248    0    0     0     0 1257200 256554 39 25 35  0  0  0
32  0      0 94847292  25036 1593184    0    0     0     0 1257146 254879 38 25 37  0  0  0
35  0      0 94854168  25036 1596192    0    0     0     0 1259046 256300 40 23 36  0  0  0
23  0      0 94831860  25036 1608856    0    0     0 41085 1248665 256325 39 25 36  0  0  0
34  0      0 94826232  25036 1612392    0    0     0     0 1248382 257523 40 24 36  0  0  0
30  0      0 94812664  25036 1624640    0    0     0     0 1247771 256795 40 24 36  0  0  0
31  0      0 94797720  25036 1633188    0    0     0     0 1261051 255317 39 24 37  0  0  0
30  0      0 94798024  25036 1636236    0    0     0     0 1258100 256786 41 24 35  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
28  0      0 94778252  25036 1649816    0    0     0    22 1267650 258243 40 24 36  0  0  0
21  0      0 94775540  25036 1657404    0    0     0 38373 1270663 257951 39 24 36  0  0  0
33  0      0 94766844  25036 1664740    0    0     0     0 1263084 257009 41 23 36  0  0  0
37  0      0 94755424  25036 1672924    0    0     0     0 1260856 257139 39 24 37  0  0  0
14  0      0 94749088  25036 1680772    0    0     0     0 1265831 256833 40 24 36  0  0  0
