procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95900360  24120 792080    0    0     4   174 65120   13  0  1 99  0  0  0
 0  0      0 95899868  24120 792088    0    0     0     0  617  333  0  0 100  0  0  0
 0  0      0 95899112  24120 792096    0    0     0     0  729  480  0  0 100  0  0  0
 0  0      0 95899140  24120 792100    0    0     0     0  513  273  0  0 100  0  0  0
 0  0      0 95899140  24120 792100    0    0     0     0  121  128  0  0 100  0  0  0
 0  0      0 95899140  24120 792100    0    0     0     0  120  124  0  0 100  0  0  0
 6  0      0 95866048  24132 792116    0    0     0   583 20441 22610  0  0 99  0  0  0
 6  0      0 95857880  24132 792288    0    0     0     4 1443721 1469596  2 18 79  0  0  0
 7  0      0 95857260  24132 792288    0    0     0     0 1490317 1518227  3 18 80  0  0  0
 8  0      0 95857452  24132 792292    0    0     0     0 1453290 1487265  3 19 79  0  0  0
 5  0      0 95854844  24132 792292    0    0     0     0 1477667 1512459  2 19 79  0  0  0
11  0      0 95855064  24132 792292    0    0     0     0 1454966 1487504  2 18 79  0  0  0
10  0      0 95854652  24132 792292    0    0     0    15 1470204 1510002  3 18 79  0  0  0
10  0      0 95854752  24132 792296    0    0     0     0 1471119 1509048  3 18 79  0  0  0
 7  0      0 95855036  24132 792296    0    0     0     0 1441971 1482590  2 19 79  0  0  0
14  0      0 95854456  24132 792300    0    0     0     0 1436269 1473480  3 19 78  0  0  0
 8  0      0 95854696  24132 792300    0    0     0     1 1474961 1514405  2 19 79  0  0  0
 6  0      0 95854544  24132 792300    0    0     0     5 1462602 1504268  3 18 79  0  0  0
13  0      0 95854988  24132 792300    0    0     0     0 1412544 1451686  3 19 78  0  0  0
11  0      0 95854248  24132 792300    0    0     0     0 1415896 1450142  3 20 78  0  0  0
 3  0      0 95854108  24132 792300    0    0     0     0 1412045 1448294  3 19 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
12  0      0 95852156  24132 792300    0    0     0     0 1421921 1456924  3 19 78  0  0  0
12  0      0 95852840  24132 792304    0    0     0     5 1446656 1483111  3 19 79  0  0  0
14  0      0 95852252  24132 792304    0    0     0     0 1438121 1472379  2 19 78  0  0  0
 4  0      0 95851040  24132 792304    0    0     0     0 1481199 1515758  3 18 80  0  0  0
 9  0      0 95852040  24132 792308    0    0     0     0 1450728 1486340  2 19 78  0  0  0
