Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:21:59      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:22:00            0       625      0.94      1.41      0.75         0
14:22:01            0       627      0.94      1.41      0.75         0
14:22:02            0       624      0.94      1.41      0.75         0
14:22:03            0       624      0.87      1.39      0.74         0
14:22:04            0       624      0.87      1.39      0.74         0
14:22:05            0       624      0.87      1.39      0.74         0
14:22:06            0       624      0.87      1.39      0.74         0
14:22:07            0       627      0.87      1.39      0.74         0
14:22:08            8       628      0.88      1.38      0.74         0
14:22:09            7       628      0.88      1.38      0.74         0
14:22:10            8       628      0.88      1.38      0.74         0
14:22:11            5       628      0.88      1.38      0.74         0
14:22:12            7       626      0.88      1.38      0.74         0
14:22:13            8       626      1.29      1.46      0.77         0
14:22:14           11       626      1.29      1.46      0.77         0
14:22:15            6       626      1.29      1.46      0.77         0
14:22:16            5       626      1.29      1.46      0.77         0
14:22:17            4       626      1.29      1.46      0.77         0
14:22:18            9       625      1.75      1.55      0.81         0
14:22:19           10       625      1.75      1.55      0.81         0
14:22:20            7       625      1.75      1.55      0.81         0
14:22:21           11       625      1.75      1.55      0.81         0
14:22:22            9       625      1.75      1.55      0.81         0
14:22:23           10       624      2.33      1.68      0.85         0
14:22:24            8       625      2.33      1.68      0.85         0
14:22:25            7       623      2.33      1.68      0.85         0
Average:            5       626      1.30      1.47      0.77         0
