Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:40:29        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:40:30        all      0.06      0.00      0.02      0.00      0.00     99.92
14:40:31        all      0.04      0.00      0.00      0.00      0.00     99.96
14:40:32        all      0.00      0.00      0.00      0.00      0.00    100.00
14:40:33        all      0.00      0.00      0.00      0.00      0.00    100.00
14:40:34        all      0.04      0.00      0.00      0.00      0.00     99.96
14:40:35        all      1.27      0.00      6.75      0.11      0.00     91.87
14:40:36        all      3.15      0.00     17.08      0.00      0.00     79.77
14:40:37        all      3.66      0.00     19.22      0.00      0.00     77.12
14:40:38        all      3.32      0.00     17.49      0.00      0.00     79.19
14:40:39        all      3.67      0.00     16.62      0.00      0.00     79.71
14:40:40        all      3.23      0.00     16.85      0.00      0.00     79.92
14:40:41        all      3.02      0.00     14.90      0.00      0.00     82.07
14:40:42        all      3.53      0.00     19.08      0.00      0.00     77.39
14:40:43        all      2.95      0.00     14.81      0.00      0.00     82.23
14:40:44        all      2.73      0.00     18.09      0.00      0.00     79.18
14:40:45        all      3.10      0.00     16.09      0.00      0.00     80.81
14:40:46        all      3.06      0.00     18.19      0.00      0.00     78.75
14:40:47        all      3.06      0.00     19.11      0.00      0.00     77.83
14:40:48        all      2.78      0.00     16.96      0.00      0.00     80.26
14:40:49        all      3.20      0.00     16.39      0.00      0.00     80.41
14:40:50        all      3.44      0.00     18.03      0.00      0.00     78.53
14:40:51        all      3.41      0.00     16.47      0.00      0.00     80.12
14:40:52        all      3.22      0.00     16.91      0.00      0.00     79.87
14:40:53        all      3.42      0.00     16.91      0.00      0.00     79.68
14:40:54        all      3.19      0.00     17.88      0.00      0.00     78.93
14:40:55        all      3.40      0.00     15.72      0.00      0.00     80.88
Average:        all      2.51      0.00     13.29      0.00      0.00     84.20
