Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:40:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:40:26        all      0.04      0.00      0.04      0.00      0.00     99.92
14:40:27        all      0.04      0.00      0.00      0.00      0.00     99.96
14:40:28        all      0.04      0.00      0.00      0.00      0.00     99.96
14:40:29        all      0.00      0.00      0.00      0.00      0.00    100.00
14:40:30        all      0.00      0.00      0.00      0.00      0.00    100.00
14:40:31        all      0.00      0.00      0.00      0.00      0.00    100.00
14:40:32        all      0.00      0.00      0.00      0.00      0.00    100.00
14:40:33        all      0.00      0.00      0.00      0.00      0.00    100.00
14:40:34        all      0.10      0.00      0.04      0.00      0.00     99.85
14:40:35        all      2.19      0.00      2.76      0.00      0.00     95.05
14:40:36        all     10.63      0.00     11.92      0.00      0.00     77.45
14:40:37        all      9.90      0.00     11.05      0.00      0.00     79.05
14:40:38        all      9.76      0.00     11.74      0.00      0.00     78.50
14:40:39        all     10.86      0.00     11.56      0.00      0.00     77.59
14:40:40        all      9.42      0.00     11.89      0.00      0.00     78.70
14:40:41        all      9.10      0.00     10.80      0.00      0.00     80.10
14:40:42        all      9.91      0.00     10.86      0.00      0.00     79.23
14:40:43        all      9.81      0.00     11.73      0.00      0.00     78.46
14:40:44        all      9.55      0.00     12.51      0.00      0.00     77.94
14:40:45        all      9.73      0.00     10.08      0.00      0.00     80.18
14:40:46        all      8.93      0.00     11.35      0.00      0.00     79.72
14:40:47        all     10.48      0.00     11.57      0.00      0.00     77.95
14:40:48        all      8.74      0.00     10.58      0.00      0.00     80.68
14:40:49        all     10.72      0.00     11.89      0.00      0.00     77.39
14:40:50        all      9.97      0.00     12.83      0.00      0.00     77.21
14:40:51        all      9.83      0.00     11.60      0.00      0.00     78.57
Average:        all      6.07      0.00      7.10      0.00      0.00     86.83
