Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:18:57      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:18:58            0       586      0.54      0.57      0.26         0
14:18:59            0       585      0.49      0.56      0.25         0
14:19:00            0       585      0.49      0.56      0.25         0
14:19:01            0       585      0.49      0.56      0.25         0
14:19:02           12       660      0.49      0.56      0.25         0
14:19:03            7       660      0.49      0.56      0.25         0
14:19:04            1       660      0.78      0.62      0.28         0
14:19:05            4       660      0.78      0.62      0.28         0
14:19:06           11       660      0.78      0.62      0.28         0
14:19:07            5       660      0.78      0.62      0.28         0
14:19:08            5       660      0.78      0.62      0.28         0
14:19:09           14       660      1.43      0.76      0.32         0
14:19:10            8       660      1.43      0.76      0.32         0
14:19:11           20       660      1.43      0.76      0.32         0
14:19:12            0       660      1.43      0.76      0.32         0
14:19:13           23       660      1.43      0.76      0.32         0
14:19:14            8       646      2.36      0.96      0.39         0
14:19:15            6       645      2.36      0.96      0.39         0
14:19:16           14       645      2.36      0.96      0.39         0
14:19:17            7       645      2.36      0.96      0.39         0
14:19:18            4       645      2.36      0.96      0.39         0
14:19:19           10       645      3.61      1.24      0.49         0
14:19:20            5       645      3.61      1.24      0.49         0
14:19:21            6       644      3.61      1.24      0.49         0
14:19:22           12       644      3.61      1.24      0.49         0
14:19:23            8       642      3.61      1.24      0.49         0
Average:            7       643      1.69      0.82      0.34         0
