Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:30:39      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:30:40            0       624      1.52      2.27      1.49         0
14:30:41            0       625      1.52      2.27      1.49         0
14:30:42            0       623      1.52      2.27      1.49         0
14:30:43            0       623      1.52      2.27      1.49         0
14:30:44            0       623      1.40      2.23      1.48         0
14:30:45            0       623      1.40      2.23      1.48         0
14:30:46            0       623      1.40      2.23      1.48         0
14:30:47            1       627      1.40      2.23      1.48         0
14:30:48           26       627      1.40      2.23      1.48         0
14:30:49           26       627      2.89      2.52      1.58         0
14:30:50           31       627      2.89      2.52      1.58         0
14:30:51           16       627      2.89      2.52      1.58         0
14:30:52           17       627      2.89      2.52      1.58         0
14:30:53           29       627      2.89      2.52      1.58         0
14:30:54           24       627      4.34      2.83      1.68         0
14:30:55           29       627      4.34      2.83      1.68         0
14:30:56           26       627      4.34      2.83      1.68         0
14:30:57           10       627      4.34      2.83      1.68         0
14:30:58           28       627      4.34      2.83      1.68         0
14:30:59           22       627      6.23      3.25      1.83         0
14:31:00           36       627      6.23      3.25      1.83         0
14:31:01           30       627      6.23      3.25      1.83         0
14:31:02           17       627      6.23      3.25      1.83         0
14:31:03           37       626      6.23      3.25      1.83         0
14:31:04           24       626      7.98      3.66      1.97         0
14:31:05           32       624      7.98      3.66      1.97         0
Average:           18       626      3.71      2.71      1.64         0
