Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:26:46        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:26:47        all      0.06      0.00      0.06      0.00      0.00     99.88
14:26:48        all      0.02      0.00      0.04      0.00      0.00     99.94
14:26:49        all      0.06      0.00      0.06      0.00      0.00     99.88
14:26:50        all      0.00      0.00      0.02      0.00      0.00     99.98
14:26:51        all      0.00      0.00      0.02      0.00      0.00     99.98
14:26:52        all      0.00      0.00      0.02      0.00      0.00     99.98
14:26:53        all      0.00      0.00      0.02      0.00      0.00     99.98
14:26:54        all      0.04      0.00      0.00      0.00      0.00     99.96
14:26:55        all      0.10      0.00      0.17      0.00      0.00     99.73
14:26:56        all     17.81      0.00     10.67      0.00      0.00     71.52
14:26:57        all     24.62      0.00     13.86      0.00      0.00     61.52
14:26:58        all     24.90      0.00     13.91      0.00      0.00     61.19
14:26:59        all     24.88      0.00     14.23      0.00      0.00     60.89
14:27:00        all     25.82      0.00     13.04      0.00      0.00     61.13
14:27:01        all     25.42      0.00     13.74      0.00      0.00     60.84
14:27:02        all     25.37      0.00     13.09      0.07      0.00     61.47
14:27:03        all     25.12      0.00     13.76      0.00      0.00     61.12
14:27:04        all     24.88      0.00     13.51      0.00      0.00     61.61
14:27:05        all     25.37      0.00     13.14      0.00      0.00     61.50
14:27:06        all     26.04      0.00     13.12      0.00      0.00     60.85
14:27:07        all     25.00      0.00     13.76      0.00      0.00     61.24
14:27:08        all     25.46      0.00     13.83      0.00      0.00     60.71
14:27:09        all     25.06      0.00     13.57      0.00      0.00     61.37
14:27:10        all     25.69      0.00     13.64      0.00      0.00     60.67
14:27:11        all     25.72      0.00     13.16      0.00      0.00     61.12
14:27:12        all     24.69      0.00     13.68      0.00      0.00     61.64
Average:        all     16.03      0.00      8.67      0.00      0.00     75.30
