Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:23:35      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:23:36            0       577      0.82      1.14      0.62         0
14:23:37            0       575      0.82      1.14      0.62         0
14:23:38            0       575      0.82      1.14      0.62         0
14:23:39            0       575      0.76      1.12      0.62         0
14:23:40            5       648      0.76      1.12      0.62         0
14:23:41            0       648      0.76      1.12      0.62         0
14:23:42            3       648      0.76      1.12      0.62         0
14:23:43            3       648      0.76      1.12      0.62         0
14:23:44            5       648      1.42      1.25      0.67         0
14:23:45            7       648      1.42      1.25      0.67         0
14:23:46            3       648      1.42      1.25      0.67         0
14:23:47            0       648      1.42      1.25      0.67         0
14:23:48            6       648      1.42      1.25      0.67         0
14:23:49           13       648      1.46      1.27      0.67         0
14:23:50           12       648      1.46      1.27      0.67         0
14:23:51           12       648      1.46      1.27      0.67         0
14:23:52            9       648      1.46      1.27      0.67         0
14:23:53           10       648      1.46      1.27      0.67         0
14:23:54           11       648      2.15      1.41      0.72         0
14:23:55           18       648      2.15      1.41      0.72         0
14:23:56           17       648      2.15      1.41      0.72         0
14:23:57            4       648      2.15      1.41      0.72         0
14:23:58            1       648      2.15      1.41      0.72         0
14:23:59            6       647      2.94      1.59      0.78         0
14:24:00           12       647      2.94      1.59      0.78         0
14:24:01            8       645      2.94      1.59      0.78         0
Average:            6       637      1.55      1.29      0.68         0
