Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:23:34        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:23:35        all      0.08      0.00      0.00      0.00      0.00     99.92
14:23:36        all      0.06      0.00      0.00      0.00      0.00     99.94
14:23:37        all      0.00      0.00      0.00      0.00      0.00    100.00
14:23:38        all      0.00      0.00      0.00      0.00      0.00    100.00
14:23:39        all      0.04      0.00      0.00      0.00      0.00     99.96
14:23:40        all      1.10      0.00      6.76      0.13      0.00     92.02
14:23:41        all      3.32      0.00     16.97      0.00      0.00     79.71
14:23:42        all      3.53      0.00     18.18      0.00      0.00     78.29
14:23:43        all      3.19      0.00     15.48      0.00      0.00     81.33
14:23:44        all      3.10      0.00     17.66      0.00      0.00     79.23
14:23:45        all      3.68      0.00     19.31      0.02      0.00     76.99
14:23:46        all      3.27      0.00     15.58      0.00      0.00     81.15
14:23:47        all      3.04      0.00     17.62      0.00      0.00     79.33
14:23:48        all      3.64      0.00     18.87      0.00      0.00     77.49
14:23:49        all      3.37      0.00     17.12      0.00      0.00     79.51
14:23:50        all      3.56      0.00     19.66      0.00      0.00     76.78
14:23:51        all      3.42      0.00     16.58      0.00      0.00     80.00
14:23:52        all      2.55      0.00     15.89      0.00      0.00     81.56
14:23:53        all      3.34      0.00     18.54      0.00      0.00     78.12
14:23:54        all      3.08      0.00     18.48      0.00      0.00     78.45
14:23:55        all      3.93      0.00     16.49      0.00      0.00     79.58
14:23:56        all      3.16      0.00     18.32      0.00      0.00     78.52
14:23:57        all      3.31      0.00     18.65      0.00      0.00     78.04
14:23:58        all      3.45      0.00     20.61      0.00      0.00     75.94
14:23:59        all      3.41      0.00     17.58      0.00      0.00     79.00
14:24:00        all      3.33      0.00     17.78      0.00      0.00     78.89
Average:        all      2.59      0.00     13.78      0.01      0.00     83.63
