procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95890884  24044 791656    0    0     4   178 59272   12  0  1 99  0  0  0
 0  0      0 95890140  24044 791664    0    0     0     0  717  339  0  0 100  0  0  0
 0  0      0 95890140  24044 791668    0    0     0     0  567  351  0  0 100  0  0  0
 0  0      0 95889636  24044 791680    0    0     0     0  620  316  0  0 100  0  0  0
 0  0      0 95889636  24044 791680    0    0     0     0  322  239  0  0 100  0  0  0
 0  0      0 95889636  24044 791680    0    0     0     0  205  128  0  0 100  0  0  0
 0  0      0 95889160  24044 791680    0    0     0     8  344  255  0  0 100  0  0  0
 2  0      0 95854764  24064 791960    0    0     0   567 1085124 1061900  2 12 85  0  0  0
 8  0      0 95852992  24064 791964    0    0     0     0 1578384 1566113  3 17 79  0  0  0
 8  0      0 95847396  24064 791964    0    0     0     0 1586620 1577638  3 16 80  0  0  0
 6  0      0 95849228  24064 791968    0    0     0     0 1588946 1577685  3 16 80  0  0  0
 2  0      0 95852884  24064 791968    0    0     0     0 1561946 1545827  4 19 78  0  0  0
 6  0      0 95850652  24064 791968    0    0     0    14 1576556 1571913  3 19 78  0  0  0
 7  0      0 95852280  24064 791968    0    0     0     0 1585763 1579965  3 15 82  0  0  0
 7  0      0 95850724  24064 791972    0    0     0     0 1583666 1576794  3 19 78  0  0  0
 5  0      0 95846552  24064 791972    0    0     0     0 1576369 1569051  4 18 78  0  0  0
 1  0      0 95855772  24064 791976    0    0     0     0 1558497 1544257  3 18 79  0  0  0
 8  0      0 95849208  24064 791976    0    0     0     4 1579984 1567509  4 19 78  0  0  0
 2  0      0 95846536  24064 791976    0    0     0     0 1643874 1640733  3 15 81  0  0  0
17  0      0 95849464  24064 791976    0    0     0     0 1621968 1620793  3 17 80  0  0  0
 9  0      0 95852468  24064 791976    0    0     0     0 1578735 1568816  3 19 78  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 95848364  24064 791976    0    0     0     0 1581497 1570262  4 18 78  0  0  0
14  0      0 95845244  24064 791976    0    0     0     4 1589287 1583026  4 17 79  0  0  0
18  0      0 95857400  24064 791980    0    0     0     0 1592995 1587035  3 18 79  0  0  0
12  0      0 95851920  24064 791980    0    0     0     0 1584453 1574115  3 20 77  0  0  0
 6  0      0 95852548  24064 791984    0    0     0     0 1588425 1571613  3 19 77  0  0  0
