procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95455860  24920 1088184    0    0     5   248 39902    2  0  0 99  0  0  0
 0  0      0 95454852  24924 1088192    0    0     0    51  818  455  0  0 100  0  0  0
 0  0      0 95454600  24924 1088200    0    0     0     0  584  365  0  0 100  0  0  0
 0  0      0 95455920  24924 1088208    0    0     0     0  750  458  0  0 100  0  0  0
 0  0      0 95458468  24924 1088212    0    0     0     0  446  386  0  0 100  0  0  0
 0  0      0 95458468  24924 1088212    0    0     0     0  111  118  0  0 100  0  0  0
 0  0      0 95458468  24924 1088248    0    0     0     0  118  120  0  0 100  0  0  0
 0  0      0 95458468  24924 1088268    0    0     0     9  217  224  0  0 100  0  0  0
 0  0      0 95458468  24924 1088284    0    0     0     0  124  132  0  0 100  0  0  0
 0  0      0 95458468  24924 1088304    0    0     0     0  453  190  0  0 100  0  0  0
 0  0      0 95367528  24924 1088836    0    0     0     0 5220  421  0  0 100  0  0  0
11  0      0 95363272  24924 1089176    0    0     0   273 763452 182187  8  8 84  0  0  0
11  0      0 95349804  24924 1089260    0    0     0    15 1074162 248003 12 11 77  0  0  0
18  0      0 95356952  24924 1089284    0    0     0     0 1077314 249103 11 12 77  0  0  0
 7  0      0 95357368  24924 1089304    0    0     0     0 1080380 250620 12 11 77  0  0  0
 9  0      0 95346736  24924 1101248    0    0     0     0 1074304 249015 11 11 78  0  0  0
12  0      0 95344524  24924 1103120    0    0     0     0 1076169 249136 12 12 76  0  0  0
 5  0      0 95340684  24924 1105828    0    0     0 13827 1080860 250927 12 11 76  0  0  0
 4  0      0 95335916  24924 1108016    0    0     0     0 1079207 249645 12 11 77  0  0  0
17  0      0 95331664  24924 1111564    0    0     0     0 1077119 249219 12 11 76  0  0  0
 6  0      0 95327264  24924 1114020    0    0     0     0 1073134 248958 12 12 77  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 95327696  24924 1116928    0    0     0     0 1077872 251008 12 11 77  0  0  0
 9  0      0 95326044  24924 1119948    0    0     0    14 1092201 254324 13 12 75  0  0  0
 8  0      0 95322476  24924 1121768    0    0     0     0 1091229 254509 12 10 77  0  0  0
 3  0      0 95320564  24924 1124036    0    0     0     0 1085942 254888 12 11 77  0  0  0
 3  0      0 95317300  24924 1126072    0    0     0     0 1085431 254250 12 11 77  0  0  0
