procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95892316  24172 792296    0    0     4   169 70173   14  0  1 99  0  0  0
 0  0      0 95891572  24172 792304    0    0     0     0  614  322  0  0 100  0  0  0
 0  0      0 95891096  24172 792308    0    0     0     0  561  383  0  0 100  0  0  0
 0  0      0 95890844  24172 792320    0    0     0     0  609  392  0  0 100  0  0  0
 0  0      0 95890844  24172 792320    0    0     0     0  130  133  0  0 100  0  0  0
 0  0      0 95890844  24172 792320    0    0     0     0  107  114  0  0 100  0  0  0
 0  1      0 95881140  24172 792320    0    0     0   159  847 1062  0  0 100  0  0  0
 9  0      0 95858104  24196 792480    0    0     0   423 1131873 1207362  2 12 86  0  0  0
 6  0      0 95856640  24196 792480    0    0     0     0 1353367 1434930  2 13 85  0  0  0
 8  0      0 95856712  24196 792484    0    0     0     0 1361227 1435200  3 13 85  0  0  0
 5  0      0 95856528  24196 792484    0    0     0     0 1371583 1457689  3 12 85  0  0  0
14  0      0 95856584  24196 792484    0    0     0     0 1368393 1452567  2 14 84  0  0  0
11  0      0 95856648  24196 792484    0    0     0    14 1360203 1449057  3 15 82  0  0  0
 8  0      0 95856480  24196 792484    0    0     0     0 1394895 1487301  2 13 84  0  0  0
 7  0      0 95856260  24196 792488    0    0     0     0 1407501 1473767  2 12 86  0  0  0
 6  0      0 95856048  24196 792488    0    0     0     0 1394899 1482226  2 12 85  0  0  0
 7  0      0 95855836  24196 792492    0    0     0     0 1407215 1495979  3 13 84  0  0  0
10  0      0 95855624  24196 792492    0    0     0     5 1392817 1480892  2 12 86  0  0  0
 7  0      0 95855664  24196 792492    0    0     0     0 1385553 1470803  2 14 84  0  0  0
10  0      0 95855716  24196 792492    0    0     0     0 1378378 1469660  3 13 85  0  0  0
 9  0      0 95855520  24196 792492    0    0     0     0 1378709 1479825  2 13 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 95855596  24196 792492    0    0     0     0 1368821 1461747  2 13 85  0  0  0
 5  0      0 95855372  24196 792492    0    0     0     5 1412342 1496577  2 14 84  0  0  0
 4  0      0 95854964  24196 792496    0    0     0     0 1401051 1491328  2 14 84  0  0  0
 8  0      0 95854752  24196 792496    0    0     0     0 1397473 1483386  2 13 85  0  0  0
 8  0      0 95854816  24196 792496    0    0     0     0 1405510 1493687  3 13 84  0  0  0
