Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:35:44      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:35:45            0       613      1.19      2.93      2.15         0
14:35:46            0       614      1.19      2.93      2.15         0
14:35:47            0       612      1.19      2.93      2.15         0
14:35:48            0       612      1.19      2.93      2.15         0
14:35:49            0       612      1.19      2.93      2.15         0
14:35:50            0       612      1.10      2.88      2.13         0
14:35:51            0       612      1.10      2.88      2.13         0
14:35:52            0       614      1.10      2.88      2.13         0
14:35:53            7       616      1.10      2.88      2.13         0
14:35:54            7       616      1.10      2.88      2.13         0
14:35:55           11       616      1.73      2.99      2.17         0
14:35:56           11       616      1.73      2.99      2.17         0
14:35:57            6       616      1.73      2.99      2.17         0
14:35:58            6       616      1.73      2.99      2.17         0
14:35:59            3       616      1.73      2.99      2.17         0
14:36:00            7       616      1.91      3.00      2.18         0
14:36:01            9       616      1.91      3.00      2.18         0
14:36:02            9       616      1.91      3.00      2.18         0
14:36:03            6       616      1.91      3.00      2.18         0
14:36:04            6       616      1.91      3.00      2.18         0
14:36:05            8       616      2.32      3.07      2.21         0
14:36:06            5       616      2.32      3.07      2.21         0
14:36:07            8       616      2.32      3.07      2.21         0
14:36:08            5       615      2.32      3.07      2.21         0
14:36:09            5       615      2.32      3.07      2.21         0
14:36:10            9       613      2.45      3.08      2.22         0
Average:            5       615      1.68      2.98      2.17         0
