procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 94806508  25064 1732468    0    0     4   459 47878    2  1  1 99  0  0  0
 0  0      0 94805500  25064 1732480    0    0     0    47  745  539  0  0 100  0  0  0
 0  0      0 94804996  25064 1732484    0    0     0     0  693  464  0  0 100  0  0  0
 0  0      0 94806824  25064 1732492    0    0     0     0  863  350  0  0 100  0  0  0
 0  0      0 94806824  25064 1732496    0    0     0     0  342  261  0  0 100  0  0  0
 0  0      0 94806824  25064 1732512    0    0     0     0  137  171  0  0 100  0  0  0
 0  0      0 94806572  25064 1732532    0    0     0    78  279  342  0  0 100  0  0  0
 0  0      0 94806572  25064 1732552    0    0     0     0  112  121  0  0 100  0  0  0
 0  0      0 94806572  25064 1732568    0    0     0     0  119  126  0  0 100  0  0  0
 0  0      0 94806068  25064 1732592    0    0     0     0  226  150  0  0 100  0  0  0
 0  0      0 94714444  25064 1733248    0    0     0     0 5291  508  0  0 100  0  0  0
 6  0      0 94713912  25068 1733336    0    0     0   231 686712 225479  5  7 88  0  0  0
 7  0      0 94712192  25068 1733360    0    0     0     0 864925 281530  7  9 84  0  0  0
 8  0      0 94708660  25068 1733384    0    0     0     0 863301 279887  6  9 86  0  0  0
 8  0      0 94708652  25068 1733384    0    0     0     0 875330 286158  8  8 85  0  0  0
 7  0      0 94699388  25068 1741492    0    0     0     0 875430 286843  7  8 85  0  0  0
 6  0      0 94701144  25068 1743232    0    0     0     6 872863 287379  7  8 85  0  0  0
 6  0      0 94696872  25068 1744576    0    0     0  8991 891568 290633  7  8 85  0  0  0
 9  0      0 94694480  25068 1746680    0    0     0     0 885110 287845  7  8 85  0  0  0
 7  0      0 94690064  25068 1749104    0    0     0     0 887051 287590  7  8 85  0  0  0
 8  0      0 94689436  25068 1750016    0    0     0     0 895763 290950  7  8 85  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 94686916  25068 1751572    0    0     0    13 889175 288972  6  9 85  0  0  0
 7  0      0 94689976  25068 1754400    0    0     0     1 882913 288072  6  9 85  0  0  0
 6  0      0 94686940  25068 1755276    0    0     0     0 882813 286926  7  9 84  0  0  0
 6  0      0 94682276  25068 1757608    0    0     0     0 887835 288639  7  9 84  0  0  0
 4  0      0 94680792  25068 1759740    0    0     0     0 877040 283865  7  8 85  0  0  0
