Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:17:17      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:17:18            0       639      1.04      0.74      0.30         0
14:17:19            0       640      1.04      0.74      0.30         0
14:17:20            0       639      1.04      0.74      0.30         0
14:17:21            0       638      1.04      0.74      0.30         0
14:17:22            0       638      0.95      0.73      0.30         0
14:17:23            0       638      0.95      0.73      0.30         0
14:17:24            0       638      0.95      0.73      0.30         0
14:17:25            0       638      0.95      0.73      0.30         0
14:17:26            0       642      0.95      0.73      0.30         0
14:17:27           15       642      1.84      0.91      0.36         0
14:17:28            1       642      1.84      0.91      0.36         0
14:17:29           15       642      1.84      0.91      0.36         0
14:17:30           12       642      1.84      0.91      0.36         0
14:17:31            3       642      1.84      0.91      0.36         0
14:17:32           10       642      2.09      0.98      0.38         0
14:17:33            7       642      2.09      0.98      0.38         0
14:17:34           13       642      2.09      0.98      0.38         0
14:17:35            9       642      2.09      0.98      0.38         0
14:17:36           10       642      2.09      0.98      0.38         0
14:17:37            1       642      2.64      1.12      0.43         0
14:17:38            2       642      2.64      1.12      0.43         0
14:17:39            1       642      2.64      1.12      0.43         0
14:17:40            9       642      2.64      1.12      0.43         0
14:17:41            8       641      2.64      1.12      0.43         0
14:17:42           11       642      2.99      1.21      0.47         0
14:17:43            3       640      2.99      1.21      0.47         0
Average:            5       641      1.84      0.93      0.36         0
