procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95644404  24848 903648    0    0     5   189 34673    2  0  0 99  0  0  0
 0  0      0 95643648  24848 903656    0    0     0    45  781  462  0  0 100  0  0  0
 0  0      0 95643400  24848 903664    0    0     0     0  668  461  0  0 100  0  0  0
 0  0      0 95642668  24848 903668    0    0     0     0  646  311  0  0 100  0  0  0
 0  0      0 95642204  24848 903672    0    0     0     0  447  334  0  0 100  0  0  0
 0  0      0 95642204  24848 903688    0    0     0     0  125  134  0  0 100  0  0  0
 0  0      0 95644220  24848 903708    0    0     0    43  179  204  0  0 100  0  0  0
 0  0      0 95644220  24848 903728    0    0     0     0  144  176  0  0 100  0  0  0
 0  0      0 95644220  24848 903744    0    0     0     0  224  249  0  0 100  0  0  0
 0  0      0 95644220  24848 903764    0    0     0     0  116  124  0  0 100  0  0  0
 1  0      0 95554800  24848 904296    0    0     0     0 2907  305  0  0 100  0  0  0
13  0      0 95551952  24848 904700    0    0     0   270 389823 94480  2  4 94  0  0  0
 5  0      0 95554664  24848 904724    0    0     0     0 1112952 251786  8 12 80  0  0  0
12  0      0 95554408  24848 904744    0    0     0     0 1105182 249124  6 12 82  0  0  0
19  0      0 95554404  24848 904764    0    0     0     0 1106187 248325  7 12 81  0  0  0
11  0      0 95553420  24848 904788    0    0     0     0 1100536 247163  7 12 80  0  0  0
13  0      0 95544860  24848 916500    0    0     0 10343 1097475 246978  8 11 81  0  0  0
11  0      0 95541580  24848 919280    0    0     0     0 1103379 248677  8 12 81  0  0  0
 9  0      0 95541316  24848 920712    0    0     0     0 1104441 248805  8 11 81  0  0  0
 1  0      0 95538284  24848 923724    0    0     0     0 1108810 249873  7 11 82  0  0  0
 9  0      0 95536520  24848 925228    0    0     0     0 1108451 250228  7 11 82  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 95533748  24848 927960    0    0     0    14 1110407 249641  7 11 82  0  0  0
 4  0      0 95531740  24848 929944    0    0     0     0 1106320 248490  7 11 81  0  0  0
19  0      0 95529216  24848 932332    0    0     0     0 1103099 248670  8 13 79  0  0  0
16  0      0 95527444  24848 934228    0    0     0     0 1107670 250149  7 12 81  0  0  0
14  0      0 95524416  24848 936896    0    0     0     0 1106956 249838  7 12 81  0  0  0
