Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:14:26      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:14:27            0       576      0.00      0.00      0.00         0
14:14:28            0       575      0.00      0.00      0.00         0
14:14:29            0       575      0.00      0.00      0.00         0
14:14:30            0       575      0.00      0.00      0.00         0
14:14:31            5       652      0.00      0.00      0.00         0
14:14:32           11       652      0.00      0.00      0.00         0
14:14:33            3       652      0.24      0.05      0.02         0
14:14:34            4       652      0.24      0.05      0.02         0
14:14:35            8       652      0.24      0.05      0.02         0
14:14:36           11       652      0.24      0.05      0.02         0
14:14:37            8       652      0.24      0.05      0.02         0
14:14:38            7       652      0.86      0.18      0.06         0
14:14:39           13       652      0.86      0.18      0.06         0
14:14:40            0       652      0.86      0.18      0.06         0
14:14:41            7       652      0.86      0.18      0.06         0
14:14:42            1       652      0.86      0.18      0.06         0
14:14:43            6       652      1.11      0.25      0.08         0
14:14:44            7       652      1.11      0.25      0.08         0
14:14:45            6       652      1.11      0.25      0.08         0
14:14:46            9       652      1.11      0.25      0.08         0
14:14:47            5       652      1.11      0.25      0.08         0
14:14:48            2       652      1.26      0.29      0.10         0
14:14:49           14       652      1.26      0.29      0.10         0
14:14:50            4       651      1.26      0.29      0.10         0
14:14:51            3       651      1.26      0.29      0.10         0
14:14:52            6       649      1.26      0.29      0.10         0
Average:            5       640      0.67      0.15      0.05         0
