Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:46:27      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:46:28            0       580      0.79      0.89      1.07         0
14:46:29            0       579      0.79      0.89      1.07         0
14:46:30            0       579      0.79      0.89      1.07         0
14:46:31            0       593      0.79      0.89      1.07         1
14:46:32            5       654      1.45      1.03      1.12         0
14:46:33            7       654      1.45      1.03      1.12         0
14:46:34           10       654      1.45      1.03      1.12         0
14:46:35           13       654      1.45      1.03      1.12         0
14:46:36           12       654      1.45      1.03      1.12         0
14:46:37            2       654      2.22      1.20      1.17         0
14:46:38            9       654      2.22      1.20      1.17         0
14:46:39            9       654      2.22      1.20      1.17         0
14:46:40            3       654      2.22      1.20      1.17         0
14:46:41            3       654      2.22      1.20      1.17         0
14:46:42            7       654      2.52      1.28      1.20         0
14:46:43           11       654      2.52      1.28      1.20         0
14:46:44            6       654      2.52      1.28      1.20         0
14:46:45           11       654      2.52      1.28      1.20         0
14:46:46            2       654      2.52      1.28      1.20         0
14:46:47            8       654      2.80      1.35      1.22         0
14:46:48            7       654      2.80      1.35      1.22         0
14:46:49            9       654      2.80      1.35      1.22         0
14:46:50            4       654      2.80      1.35      1.22         0
14:46:51            3       653      2.80      1.35      1.22         0
14:46:52            7       653      2.65      1.35      1.22         0
14:46:53            4       651      2.65      1.35      1.22         0
Average:            6       643      2.05      1.18      1.16         0
