Linux 6.6.121-0-virt (ip-172-31-4-75) 	03/21/26 	_aarch64_	(48 CPU)

14:46:26        CPU     %user     %nice   %system   %iowait    %steal     %idle
14:46:27        all      0.10      0.00      0.00      0.00      0.00     99.90
14:46:28        all      0.04      0.00      0.02      0.00      0.00     99.94
14:46:29        all      0.00      0.00      0.00      0.00      0.00    100.00
14:46:30        all      0.00      0.00      0.00      0.00      0.00    100.00
14:46:31        all      0.61      0.00      3.29      0.11      0.00     95.99
14:46:32        all      2.85      0.00     14.47      0.00      0.00     82.68
14:46:33        all      2.90      0.00     13.71      0.00      0.00     83.38
14:46:34        all      2.74      0.00     14.87      0.00      0.00     82.39
14:46:35        all      2.89      0.00     14.67      0.00      0.00     82.44
14:46:36        all      2.93      0.00     15.11      0.00      0.00     81.95
14:46:37        all      2.91      0.00     13.63      0.00      0.00     83.45
14:46:38        all      2.67      0.00     12.71      0.00      0.00     84.62
14:46:39        all      3.20      0.00     13.36      0.00      0.00     83.44
14:46:40        all      2.86      0.00     13.38      0.00      0.00     83.76
14:46:41        all      2.11      0.00     10.11      0.00      0.00     87.78
14:46:42        all      2.49      0.00     13.65      0.00      0.00     83.86
14:46:43        all      2.80      0.00     13.69      0.00      0.00     83.51
14:46:44        all      2.48      0.00     13.38      0.00      0.00     84.14
14:46:45        all      2.70      0.00     14.25      0.00      0.00     83.04
14:46:46        all      3.20      0.00     14.86      0.00      0.00     81.94
14:46:47        all      3.15      0.00     13.58      0.00      0.00     83.28
14:46:48        all      3.21      0.00     14.60      0.00      0.00     82.19
14:46:49        all      2.85      0.00     14.50      0.00      0.00     82.65
14:46:50        all      2.52      0.00     12.90      0.00      0.00     84.58
14:46:51        all      2.05      0.00      8.54      0.00      0.00     89.41
14:46:52        all      2.88      0.00     13.23      0.02      0.00     83.87
Average:        all      2.25      0.00     10.89      0.01      0.00     86.85
