procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 95897484  24292 792640    0    0     4   163 77752   16  0  1 99  0  0  0
 0  0      0 95897260  24292 792652    0    0     0     0  643  321  0  0 100  0  0  0
 0  0      0 95897260  24292 792656    0    0     0     0  712  396  0  0 100  0  0  0
 0  0      0 95897020  24292 792664    0    0     0     0  400  289  0  0 100  0  0  0
 0  0      0 95897020  24292 792664    0    0     0     0  219  229  0  0 100  0  0  0
 0  0      0 95897020  24292 792664    0    0     0     9  246  172  0  0 100  0  0  0
 2  0      0 95855160  24296 792688    0    0     0   585 828182 877520  2  9 89  0  0  0
 7  0      0 95852088  24296 792772    0    0     0     0 1384476 1477063  3 14 83  0  0  0
 7  0      0 95852136  24296 792772    0    0     0     0 1396977 1483078  3 14 83  0  0  0
 7  0      0 95851656  24296 792772    0    0     0     0 1388372 1477518  3 14 83  0  0  0
 8  0      0 95851688  24296 792776    0    0     0     0 1417625 1506526  3 16 81  0  0  0
 6  0      0 95851748  24296 792776    0    0     0    13 1374117 1451851  3 14 83  0  0  0
11  0      0 95851768  24296 792776    0    0     0     0 1412613 1496940  3 14 84  0  0  0
 2  0      0 95851804  24296 792776    0    0     0     0 1418107 1505093  3 13 85  0  0  0
 9  0      0 95851844  24296 792780    0    0     0     0 1415034 1499923  3 15 82  0  0  0
11  0      0 95851300  24296 792780    0    0     0     0 1423612 1510970  3 12 86  0  0  0
 8  0      0 95851036  24296 792784    0    0     0     5 1318455 1392620  2 10 88  0  0  0
 7  0      0 95850816  24296 792784    0    0     0     0 1422938 1513654  2 14 84  0  0  0
 5  0      0 95850576  24296 792784    0    0     0     0 1415255 1496775  3 15 83  0  0  0
 6  0      0 95850120  24296 792784    0    0     0     0 1407591 1494118  2 13 84  0  0  0
 6  0      0 95850140  24296 792784    0    0     0     0 1395837 1485532  3 14 83  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 95849924  24296 792784    0    0     0     5 1393703 1487005  3 15 82  0  0  0
10  0      0 95849964  24296 792788    0    0     0     0 1402089 1493405  3 14 83  0  0  0
 8  0      0 95850048  24296 792788    0    0     0     0 1379437 1463626  3 15 82  0  0  0
 9  0      0 95850076  24296 792788    0    0     0     0 1387967 1475300  3 14 84  0  0  0
 6  0      0 95849596  24296 792788    0    0     0     0 1387693 1480764  3 12 85  0  0  0
