Linux 6.6.121-0-virt (ip-172-31-0-196) 	03/21/26 	_aarch64_	(48 CPU)

14:46:23      runq-sz  plist-sz   ldavg-1   ldavg-5  ldavg-15   blocked
14:46:24            0       621      0.90      1.13      1.61         0
14:46:25            0       622      0.90      1.13      1.61         0
14:46:26            0       620      0.82      1.11      1.60         0
14:46:27            0       620      0.82      1.11      1.60         0
14:46:28            0       620      0.82      1.11      1.60         0
14:46:29            0       620      0.82      1.11      1.60         0
14:46:30            0       620      0.82      1.11      1.60         0
14:46:31            6       620      0.76      1.09      1.60         0
14:46:32            8       620      0.76      1.09      1.60         0
14:46:33            6       620      0.76      1.09      1.60         0
14:46:34           10       620      0.76      1.09      1.60         0
14:46:35            8       620      0.76      1.09      1.60         0
14:46:36            7       620      1.42      1.22      1.64         0
14:46:37            6       620      1.42      1.22      1.64         0
14:46:38           12       620      1.42      1.22      1.64         0
14:46:39            9       620      1.42      1.22      1.64         0
14:46:40            9       620      1.42      1.22      1.64         0
14:46:41            7       620      1.95      1.34      1.67         0
14:46:42            7       620      1.95      1.34      1.67         0
14:46:43            8       620      1.95      1.34      1.67         0
14:46:44            8       620      1.95      1.34      1.67         0
14:46:45            8       620      1.95      1.34      1.67         0
14:46:46           10       620      2.43      1.45      1.70         0
14:46:47           11       619      2.43      1.45      1.70         0
14:46:48            6       620      2.43      1.45      1.70         0
14:46:49           10       618      2.43      1.45      1.70         0
Average:            6       620      1.40      1.23      1.64         0
